x,y,z,is_fall
-0.494583,-0.068008,-0.794342,0
-0.073547,0.293777,-0.817947,0
-0.21669,-0.00386,-0.798233,0
-0.383652,0.03038,-0.942154,0
-0.500534,0.256989,-0.386581,0
-0.939316,0.595627,-0.568481,0
-0.943893,0.51268,-0.196304,0
-0.724274,0.469269,-0.247574,0
-0.830597,0.872192,-0.014526,0
-0.808121,0.697449,-0.038391,0
-0.653091,0.710236,0.003296,0
-0.446259,0.643829,-0.144241,0
-0.335159,0.530106,-0.042496,0
-1.077545,1.650818,0.104507,0
-1.348251,2.24826,0.094116,0
0.172028,-0.245697,-0.057617,0
0.10672,0.007797,-0.10701,0
-0.070786,-0.04837,-0.119049,0
-0.667664,1.039459,0.169647,0
-1.474213,3.48233,0.295441,0
-0.378998,1.510223,0.148239,0
-0.053223,0.085052,0.329224,0
-0.090881,-0.014862,0.036835,0
0.019394,-0.08078,-0.011597,0
-0.730927,2.098557,0.137451,0
-1.494904,3.394958,0.13324,0
0.327499,0.135284,0.09848,0
-0.132904,-0.182175,0.337418,0
0.149521,0.022812,-0.136124,0
-0.39328,0.757217,0.090591,0
-1.07489,3.647934,0.201263,0
0.133957,0.96196,0.204758,0
-0.148117,0.0569,0.498367,0
0.058197,-0.031754,0.025253,0
-0.075974,0.171967,-0.105362,0
-0.149078,2.979477,-0.227448,0
-0.084808,1.683273,0.283707,0
-0.164917,0.07016,0.360901,0
0.015137,0.021927,-0.0047,0
-0.088745,0.073715,-0.047241,0
-0.527649,2.337448,0.046768,0
-0.359253,2.430542,0.234085,0
0.061722,0.041702,0.311417,0
-0.07663,0.027496,0.035812,0
0.017853,0.072235,0.064377,0
-0.608398,2.05307,0.041306,0
-0.595032,1.337296,0.375168,0
-0.137573,0.455536,0.23558,0
-0.303024,0.805435,-0.018188,0
-0.428558,1.098068,0.131027,0
-0.557053,0.738968,0.125397,0
-0.582657,0.784561,0.10347,0
-0.689682,0.799988,0.035904,0
-0.568588,0.821838,-0.138275,0
-0.663193,0.740189,-0.189133,0
-0.590164,0.718033,-0.281006,0
-0.576828,0.719711,-0.34996,0
-0.562546,0.740448,-0.357071,0
-0.583542,0.705078,-0.319305,0
-0.571503,0.733917,-0.378738,0
-0.583359,0.733673,-0.378189,0
-0.554916,0.712448,-0.36557,0
-0.528824,0.74321,-0.407364,0
-0.60321,0.717941,-0.386108,0
-0.570389,0.740585,-0.37706,0
-0.564392,0.728241,-0.314514,0
-0.556107,0.745407,-0.357101,0
-0.539078,0.748383,-0.366455,0
-0.540512,0.752701,-0.367615,0
-0.555099,0.754486,-0.355835,0
-0.592026,0.764389,-0.284592,0
-0.565201,0.755219,-0.311844,0
-0.529266,0.745163,-0.284836,0
-0.526398,0.709808,-0.25412,0
-0.358826,0.523697,-0.143555,0
-0.50354,0.967773,-0.108658,0
-0.914963,1.738571,-0.084061,0
-0.931244,1.856827,-0.014038,0
0.207092,0.118317,0.143661,0
-0.115662,-0.009964,-0.070312,0
-0.005264,0.067749,-0.036041,0
-0.648972,2.314987,0.010574,0
-0.597229,0.965195,0.227295,0
-0.158401,0.579956,0.093796,0
-0.343323,1.063049,-0.085922,0
-0.234665,0.862305,-0.135162,0
-0.464447,0.925247,0.131134,0
-0.395737,0.925308,-0.079651,0
-0.301132,1.007034,0.020935,0
-0.277191,0.656036,0.009537,0
-0.138443,0.690659,-0.084061,0
-0.724701,2.00946,-0.091827,0
-0.460876,2.15625,0.027802,0
0.168182,0.052521,0.071152,0
-0.109161,-0.057922,-0.091141,0
-0.131836,0.019958,0.093918,0
-0.741562,2.279129,0.055328,0
-0.512054,1.113617,0.170853,0
-0.261703,0.458298,0.173126,0
-0.566711,0.89476,-0.09082,0
-0.805405,1.195343,-0.082047,0
-0.911682,0.846146,-0.381897,0
-0.690094,0.73288,-0.755142,0
-0.287842,0.333252,-0.780502,0
-0.141068,0.122055,-0.789505,0
-0.34024,-0.169434,-0.810379,0
-0.033295,-0.327164,-0.962372,0
0.042847,-0.437073,-0.739594,0
-0.001694,-0.444214,-0.718414,0
