x,y,z,is_fall
0.031723,-0.241302,-1.015198,0
0.024185,-0.054947,-1.051102,0
0.027252,-0.090485,-1.103745,0
0.060547,-0.087204,-0.92691,0
0.040741,-0.026398,-0.903168,0
0.063751,-0.070358,-0.974609,0
0.024979,-0.04306,-1.0466,0
0.0112,-0.039917,-1.037537,0
-0.027298,-0.042023,-0.930481,0
-0.013611,-0.044785,-0.964645,0
-0.018265,-0.066132,-1.025864,0
-0.012573,-0.046814,-0.99176,0
-0.053864,-0.042862,-0.993698,0
-0.020035,-0.064911,-0.978271,0
-0.018951,-0.044434,-1.015701,0
-0.022125,-0.055084,-1.000885,0
-0.023544,-0.063202,-0.966187,0
-0.00647,-0.069992,-1.02243,0
0.009399,-0.06424,-1.027176,0
0.016678,-0.091965,-0.975662,0
-0.060486,-0.108154,-0.916504,0
0.034683,-0.080124,-1.053909,0
-0.013,-0.077896,-0.965683,0
-0.018097,-0.096573,-1.019821,0
-0.002472,-0.086746,-0.997406,0
-0.01828,-0.088165,-1.016785,0
0.009247,-0.09964,-0.98027,0
0.000916,-0.101105,-1.022644,0
-0.004684,-0.111374,-1.001785,0
0.000397,-0.123672,-0.999588,0
-0.016174,-0.12146,-0.992111,0
0.000214,-0.121063,-1.017975,0
0.007797,-0.124573,-0.949265,0
-0.007538,-0.073883,-0.853058,0
-0.024918,0.102798,-0.749664,0
-0.023254,-0.062683,-0.562714,1
-0.027222,0.042755,-0.303207,1
0.29686,0.072571,-0.990738,1
0.082169,-0.459869,-1.187271,1
1.292938,-0.78331,-3.0215,1
0.602524,-1.072906,0.722473,1
0.523682,-0.178375,1.852219,1
0.576538,-0.309433,0.437347,1
1.1064,-1.764038,-0.282394,1
0.296631,-0.323822,0.293091,1
0.901276,-0.867752,0.480286,1
0.807434,-0.590088,-0.123947,0
0.752411,-0.315216,-0.35965,0
1.02417,-0.263016,-0.044724,0
1.08287,-0.285843,-0.244812,0
0.910034,-0.276749,-0.035873,0
0.998703,-0.369293,0.053329,0
0.887451,-0.340424,0.035538,0
0.84375,-0.464706,0.009781,0
0.923325,-0.349869,-0.017242,0
0.926987,-0.358856,-0.043015,0
0.920013,-0.373917,-0.065125,0
0.92775,-0.362823,-0.057495,0
0.920868,-0.363419,0.001709,0
0.892822,-0.384201,-0.036621,0
0.926605,-0.383347,-0.023041,0
0.924835,-0.363754,-0.04509,0
0.917374,-0.377777,-0.029861,0
0.920624,-0.371689,-0.017471,0
0.920883,-0.365189,-0.001007,0
0.931091,-0.376755,-0.044876,0
0.93222,-0.379837,-0.032272,0
0.928452,-0.373642,-0.024857,0
0.916809,-0.396622,-0.054672,0
0.920944,-0.387436,-0.030075,0
0.916077,-0.388977,-0.051025,0
0.920593,-0.386337,-0.040176,0
0.916428,-0.391907,-0.051056,0
0.921707,-0.395706,-0.048691,0
0.918579,-0.385086,-0.04808,0
0.912964,-0.379837,-0.056412,0
0.916565,-0.388016,-0.047104,0
0.916672,-0.39032,-0.053329,0
0.916275,-0.392563,-0.052063,0
0.914764,-0.392426,-0.058197,0
0.914032,-0.394699,-0.050873,0
0.916245,-0.399918,-0.061813,0
0.917755,-0.398315,-0.047775,0
0.916092,-0.400604,-0.066803,0
0.920761,-0.384064,-0.061966,0
0.915588,-0.40448,-0.04866,0
0.912766,-0.395874,-0.055176,0
0.9104,-0.396576,-0.056259,0
0.913956,-0.398636,-0.039886,0
0.911484,-0.403473,-0.074173,0
0.91423,-0.402603,-0.058792,0
0.908417,-0.400391,-0.064926,0
0.906113,-0.40358,-0.066727,0
0.898758,-0.396896,-0.042526,0
