x,y,z,is_fall
0.044922,-0.260574,-0.885361,0
0.065491,-0.230881,-0.96933,0
0.145401,-0.252213,-0.872574,0
0.220703,-0.229675,-0.985458,0
0.212036,-0.149948,-0.831787,0
0.480103,-0.246979,-1.039368,0
0.572006,-0.353302,-0.723495,0
0.701141,-0.435028,-0.503815,0
0.592606,-0.405777,-0.679626,0
0.504837,-0.277649,-0.720947,0
0.611542,-0.132935,-0.733627,0
0.696823,-0.157059,-0.647598,0
0.752472,-0.06485,-0.552628,0
0.952072,0.172089,-0.477783,0
0.964706,0.20462,-0.566544,0
0.951874,0.296112,-0.452377,0
0.868454,0.592133,-0.061234,0
1.004059,0.519897,-0.192673,0
0.9151,0.486908,-0.054047,0
0.641464,0.888428,0.06311,0
1.142502,0.282318,-0.092255,0
0.943726,0.312683,0.085907,0
1.031174,0.177292,-0.211639,0
0.990387,0.316132,-0.017731,0
0.926758,0.422913,-0.067917,0
0.943924,0.233719,-0.002914,0
0.958939,0.158005,-0.08046,0
0.991486,0.186615,-0.079163,0
0.999466,0.112595,0.029221,0
1.051392,0.265259,0.157471,0
0.794312,0.31665,-0.00116,0
0.890411,0.444687,0.13031,0
0.882034,0.379639,0.124207,0
1.098114,0.50444,0.215927,0
1.01712,0.635315,0.117126,0
0.890045,0.499695,0.06189,0
0.800079,0.606247,0.139908,0
0.854401,0.541275,0.237778,0
0.820236,0.520523,0.229736,0
0.777893,0.411911,0.089249,0
0.735107,0.398697,0.052002,0
0.963455,0.350967,0.039581,0
1.086868,0.190582,-0.038528,0
0.868683,0.174606,-0.180023,0
0.92485,0.104568,-0.164719,0
0.870392,0.190857,-0.048935,0
1.025528,0.230652,0.008728,0
0.860092,0.209213,-0.195633,0
0.917465,0.296143,-0.119705,0
0.881195,0.396622,0.005386,0
0.804184,0.600662,-0.073761,0
0.695709,0.798141,-0.014618,0
0.513824,0.901947,-0.062134,0
0.499084,0.993622,0.044388,0
0.388367,0.952209,-0.03273,0
0.486588,1.010468,-0.051285,0
0.264511,0.888901,0.181213,0
0.445465,0.776642,-0.241226,0
0.345596,0.960419,-0.12767,0
0.27887,0.905655,-0.076874,0
0.346954,0.978378,-0.170975,0
0.279495,1.00383,-0.184189,0
0.259796,1.016754,-0.220795,0
0.230881,0.933609,-0.219193,0
0.405472,0.84108,-0.21846,0
0.233215,1.036636,-0.131897,0
0.294952,0.991486,0.052933,0
0.248001,0.86911,-0.003937,0
0.072037,0.871124,-0.124954,0
0.342941,0.971054,0.140091,0
0.256638,1.02327,-0.294205,0
0.124771,0.911087,-0.178757,0
0.16539,0.841446,-0.112076,0
0.473129,0.831604,-0.095825,0
0.165421,0.939316,-0.425278,0
0.273148,0.888779,-0.355011,0
0.377533,0.86824,-0.423203,0
0.288391,0.865555,-0.376114,0
0.178497,0.862457,-0.382904,0
0.118103,0.85228,-0.343582,0
0.151978,1.026794,-0.330994,0
0.176193,1.089218,-0.385559,0
0.200119,0.745331,-0.281113,0
0.196213,1.033829,-0.363358,0
0.3573,0.755676,-0.267258,0
0.53595,1.21196,-0.27359,0
0.463684,0.843719,-0.135269,0
0.491104,0.852264,-0.105576,0
0.444016,0.842117,-0.074371,0
0.522476,0.884567,-0.063751,0
0.483688,0.883301,-0.041092,0
0.456909,0.857864,-0.004715,0
0.466125,0.817383,-0.005417,0
0.522095,0.864426,-0.040024,0
0.525421,0.859802,-0.022156,0
0.540527,0.831024,0.039642,0
0.543594,0.930298,-0.017914,0
0.56366,0.903854,-0.030121,0
0.452438,0.85228,0.028793,0
0.467468,0.926697,0.023605,0
0.445587,0.877121,-0.035858,0
0.444473,0.804642,-0.056061,0
0.48613,0.808914,-0.054779,0
0.46756,0.858231,-0.057617,0
0.485977,0.889832,-0.048172,0
0.387115,0.83075,-0.081619,0
0.350601,0.653763,-0.193848,1
0.376175,0.546127,-0.141663,1
0.43428,0.539719,-0.115265,1
0.395401,0.492554,-0.073593,1
0.860321,0.967026,-0.679199,1
0.819275,1.489426,-1.038345,1
0.846985,1.836578,-0.718979,1
0.584488,0.096573,-0.079117,1
0.129593,-0.446594,-0.23526,1
-0.101379,-2.093079,-0.443558,1
1.794907,-0.564316,-0.593185,1
0.098251,-0.043747,-0.521118,1
0.184052,-0.119278,-0.99144,1
0.422195,-0.23912,-0.939468,1
-0.235779,-0.05661,-0.793472,0
0.323746,-0.324158,-0.998688,0
0.079773,-0.381668,-0.907211,0
0.292938,-0.213226,-0.947998,0
0.230362,-0.288757,-0.913605,0
0.219681,-0.285599,-0.972046,0
0.184067,-0.246368,-0.938812,0
0.254745,-0.286026,-0.961777,0
0.20192,-0.279388,-0.917053,0
0.196823,-0.288452,-0.938004,0
0.140137,-0.258972,-0.906006,0
0.215637,-0.328644,-0.951172,0
0.099869,-0.274765,-0.935623,0
0.165909,-0.182999,-0.86264,0
