time,gFx,gFy,gFz,TgF
0.1,-0.1614,0.3423,0.689,0.79
0.2,-0.3789,0.3938,0.9371,1.08
0.3,-0.1189,0.4175,0.7601,0.88
0.4,-0.1289,0.4446,0.8114,0.93
0.5,-0.0554,0.5198,0.8653,1.01
0.6,-0.0774,0.4751,1.1031,1.2
0.7,0.0076,0.2517,1.2758,1.3
0.8,0.0127,0.3037,0.7152,0.78
0.9,-0.1235,0.2552,1.014,1.05
1,-0.0466,0.2937,0.8958,0.94
1.1,0.1423,0.3128,0.9034,0.97
1.2,-0.2393,0.7078,0.3514,0.83
1.3,-0.2317,0.5118,1.3888,1.5
1.4,-0.5398,0.5858,0.7706,1.11
1.5,-0.2127,0.4458,0.6685,0.83
1.6,-0.3177,0.2058,0.6807,0.78
1.7,0.0024,0.6485,0.7542,0.99
1.8,-0.5616,0.6556,0.961,1.29
1.9,-0.3006,0.4918,1.0196,1.17
2,-0.0493,0.4405,0.7345,0.86
2.1,-0.2212,0.4871,0.8634,1.02
2.2,-0.1419,0.5462,0.584,0.81
2.3,-0.1257,0.5447,0.7889,0.97
2.4,-0.1685,0.5677,0.9562,1.12
2.5,-0.3748,0.5044,1.3732,1.51
2.6,-0.3848,0.4595,0.7913,0.99
2.7,-0.0986,0.4273,0.6168,0.76
2.8,-0.0254,0.4727,0.8167,0.94
2.9,-0.0259,0.5523,0.8619,1.02
3,-0.0647,0.5972,0.8612,1.05
3.1,-0.0913,0.3619,1.5885,1.63
3.2,0.0073,0.4417,0.8004,0.91
3.3,-0.3247,0.5093,0.7628,0.97
3.4,-0.1912,0.407,0.5442,0.71
3.5,-0.4634,0.368,0.6558,0.88
3.6,-0.5682,0.3223,0.5228,0.84
3.7,-0.8853,0.0269,0.5911,1.06
3.8,-0.7518,-0.4632,0.3413,0.95
3.9,-0.7489,-0.6153,0.3816,1.04
4,-1.0201,-0.825,0.2403,1.33
4.1,-1.515,-0.6429,0.2696,1.67
4.2,-1.4872,-0.4524,-0.0896,1.56
4.3,-1.0421,-0.6141,0.2893,1.24
4.4,-0.3365,-0.2061,-0.1314,0.42
4.5,-1.1544,-0.2683,0.5643,1.31
4.6,-0.7777,-0.1414,0.0239,0.79
4.7,-0.7703,-0.0654,-0.053,0.77
4.8,-1.2711,-0.043,0.4996,1.37
4.9,-1.4223,0.0486,0.1519,1.43
5,-0.5872,-0.6033,0.2305,0.87
5.1,-0.9891,-0.0996,0.4476,1.09
5.2,-0.577,-0.0418,0.291,0.65
5.3,-0.9349,-0.0078,0.2678,0.97
5.4,-1.097,-0.1069,0.1441,1.11
5.5,-1.5505,-0.2986,0.0842,1.58
5.6,-0.839,-0.219,0.2818,0.91
5.7,-1.026,-0.2141,0.0396,1.05
5.8,-0.7208,0.0982,-0.1748,0.75
5.9,-0.879,0.3189,-0.1531,0.95
6,-0.8231,-0.0483,-0.1514,0.84
6.1,-0.8175,0.2661,0.231,0.89
6.2,-0.7501,-0.2964,0.1714,0.82
6.3,-0.9657,-0.3538,0.2354,1.06
6.4,-0.8026,-0.1231,0.1934,0.83
6.5,-0.7791,-0.0759,0.0635,0.79
6.6,-1.2316,0.0877,0.1592,1.24
6.7,-1.4215,-0.2207,0.1233,1.44
6.8,-1.0301,-0.096,0.6915,1.24
6.9,-0.8114,0.0691,0.6453,1.04
