time,gFx,gFy,gFz,TgF
0.005000,-0.1550,0.4368,0.8072,0.931
0.005000,-0.1655,0.4363,0.8177,0.942
0.005000,-0.1775,0.4371,0.8148,0.941
0.005000,-0.1865,0.4400,0.8309,0.959
0.005000,-0.2009,0.4410,0.8346,0.965
0.005000,-0.2141,0.4436,0.8433,0.977
0.006000,-0.2254,0.4456,0.8619,0.996
0.006000,-0.2364,0.4466,0.8714,1.007
0.006000,-0.2483,0.4488,0.8800,1.019
0.006000,-0.2581,0.4517,0.8958,1.036
0.008000,-0.2644,0.4507,0.9076,1.047
0.009000,-0.2720,0.4539,0.9134,1.056
0.012000,-0.2762,0.4554,0.9312,1.073
0.018000,-0.2810,0.4534,0.9354,1.077
0.018000,-0.2840,0.4519,0.9430,1.084
0.019000,-0.2871,0.4541,0.9522,1.093
0.022000,-0.2857,0.4522,0.9603,1.099
0.024000,-0.2891,0.4529,0.9667,1.106
0.028000,-0.2886,0.4527,0.9764,1.114
0.030000,-0.2879,0.4500,0.9869,1.122
0.033000,-0.2867,0.4454,0.9952,1.127
0.035000,-0.2857,0.4436,1.0082,1.138
0.037000,-0.2859,0.4410,1.0062,1.135
0.039000,-0.2832,0.4385,1.0182,1.144
0.042000,-0.2754,0.4361,1.0191,1.142
0.046000,-0.2674,0.4327,1.0265,1.146
0.049000,-0.2583,0.4302,1.0260,1.142
0.050000,-0.2483,0.4270,1.0272,1.140
0.051000,-0.2385,0.4266,1.0199,1.131
0.055000,-0.2317,0.4256,1.0152,1.125
0.057000,-0.2227,0.4236,1.0094,1.117
0.059000,-0.2134,0.4227,0.9989,1.105
0.062000,-0.2066,0.4178,0.9898,1.094
0.066000,-0.1983,0.4136,0.9813,1.083
0.067000,-0.1868,0.4100,0.9710,1.070
0.069000,-0.1785,0.4068,0.9635,1.061
0.073000,-0.1702,0.4034,0.9481,1.044
0.078000,-0.1660,0.4007,0.9405,1.036
0.080000,-0.1599,0.3958,0.9361,1.029
0.080000,-0.1546,0.3914,0.9300,1.021
0.083000,-0.1533,0.3868,0.9234,1.013
0.085000,-0.1524,0.3821,0.9271,1.014
0.087000,-0.1485,0.3777,0.9232,1.008
0.089000,-0.1458,0.3702,0.9222,1.004
0.092000,-0.1416,0.3638,0.9237,1.003
0.094000,-0.1377,0.3565,0.9176,0.994
0.098000,-0.1372,0.3526,0.9159,0.991
0.099000,-0.1338,0.3462,0.9225,0.994
0.103000,-0.1340,0.3433,0.9210,0.992
0.105000,-0.1370,0.3389,0.9217,0.992
0.107000,-0.1387,0.3374,0.9259,0.995
0.109000,-0.1416,0.3348,0.9207,0.990
0.112000,-0.1506,0.3333,0.9146,0.985
0.115000,-0.1597,0.3304,0.9076,0.979
0.117000,-0.1743,0.3328,0.9124,0.987
0.119000,-0.1804,0.3311,0.9269,1.001
0.122000,-0.1756,0.3316,0.9466,1.018
0.124000,-0.1748,0.3343,0.9559,1.028
0.127000,-0.1746,0.3367,0.9654,1.037
0.137000,-0.1778,0.3389,0.9732,1.046
0.138000,-0.1843,0.3409,0.9835,1.057
0.138000,-0.1917,0.3445,0.9942,1.070
0.138000,-0.2007,0.3494,1.0086,1.086
0.139000,-0.2088,0.3528,1.0167,1.096
0.141000,-0.2161,0.3599,1.0331,1.115
0.145000,-0.2241,0.3631,1.0453,1.129
