time,gFx,gFy,gFz,TgF
0.1,-0.2967,0.46,0.8101,0.98
0.2,-0.2639,0.4686,0.8473,1
0.3,-0.2915,0.4534,0.8883,1.04
0.4,-0.2886,0.4368,0.8963,1.04
0.5,-0.2867,0.4405,0.8575,1.01
0.6,-0.2388,0.4146,0.9369,1.05
0.7,-0.2041,0.4104,0.941,1.05
0.8,-0.2188,0.4017,0.8932,1
0.9,-0.1453,0.2801,0.9498,1
1,-0.188,0.4349,0.8763,1
1.1,-0.1633,0.3833,0.8954,0.99
1.2,-0.1311,0.344,0.8954,0.97
1.3,-0.2134,0.4087,0.932,1.04
1.4,-0.2813,0.4361,0.9068,1.04
1.5,-0.1577,0.2154,1.0365,1.07
1.6,-0.0256,0.291,1.0475,1.09
1.7,0.0122,0.2942,1.1027,1.14
1.8,-0.1477,0.4966,0.7498,0.91
1.9,-0.0784,0.3763,0.9571,1.03
2,-0.0432,0.3274,1.0211,1.07
2.1,-0.0571,0.3406,0.9349,1
2.2,-0.0794,0.3533,0.932,1
2.3,-0.0684,0.366,0.9007,0.97
2.4,-0.0889,0.3421,0.94,1
2.5,-0.0278,0.3094,0.9774,1.03
2.6,-0.0816,0.3142,0.9242,0.98
2.7,-0.0315,0.3504,0.9828,1.04
2.8,-0.0127,0.3372,0.9701,1.03
2.9,0.0071,0.346,0.972,1.03
3,0.0247,0.3355,0.9356,0.99
3.1,0.0068,0.3274,1.0365,1.09
3.2,0.0352,0.314,0.9593,1.01
3.3,0.0413,0.3135,0.974,1.02
3.4,0.0146,0.3111,0.9303,0.98
3.5,-0.0007,0.3335,0.9693,1.03
3.6,0.0142,0.3457,0.9979,1.06
3.7,-0.0264,0.409,0.8775,0.97
3.8,-0.0029,0.3743,0.9234,1
3.9,0.0044,0.3741,0.9596,1.03
4,-0.0159,0.3841,0.9364,1.01
4.1,-0.0298,0.3816,0.9432,1.02
4.2,-0.0046,0.3819,0.9225,1
4.3,-0.0012,0.3775,0.9703,1.04
