time,gFx,gFy,gFz,TgF
0.002000,-0.1944,0.6995,0.8646,1.129
0.002000,-0.1914,0.6929,0.8683,1.127
0.002000,-0.1851,0.6883,0.8741,1.128
0.002000,-0.1819,0.6783,0.8756,1.122
0.003000,-0.1807,0.6739,0.8739,1.118
0.003000,-0.1895,0.6724,0.8643,1.111
0.008000,-0.1980,0.6802,0.8614,1.115
0.008000,-0.2075,0.6917,0.8582,1.122
0.010000,-0.2234,0.7135,0.8578,1.138
0.013000,-0.2337,0.7259,0.8739,1.160
0.015000,-0.2361,0.7388,0.8797,1.173
0.017000,-0.2429,0.7481,0.8800,1.180
0.020000,-0.2483,0.7564,0.8788,1.186
0.024000,-0.2556,0.7618,0.8722,1.186
0.026000,-0.2490,0.7664,0.8795,1.193
0.028000,-0.2542,0.7696,0.8790,1.196
0.030000,-0.2576,0.7728,0.8751,1.196
0.034000,-0.2481,0.7691,0.8895,1.202
0.037000,-0.2552,0.7723,0.8949,1.209
0.037000,-0.2508,0.7667,0.9129,1.218
0.042000,-0.2522,0.7574,0.9256,1.222
0.043000,-0.2525,0.7445,0.9444,1.229
0.045000,-0.2534,0.7330,0.9608,1.235
0.048000,-0.2578,0.7156,1.0003,1.257
0.050000,-0.2700,0.7042,1.0311,1.277
0.054000,-0.2854,0.6937,1.0555,1.295
0.056000,-0.2974,0.6751,1.0882,1.315
0.058000,-0.3079,0.6624,1.1153,1.333
0.060000,-0.3164,0.6514,1.1427,1.353
0.063000,-0.3228,0.6439,1.1656,1.370
0.065000,-0.3257,0.6334,1.1979,1.394
0.067000,-0.3233,0.6207,1.2264,1.412
0.070000,-0.3213,0.6099,1.2565,1.433
0.074000,-0.3172,0.6014,1.2780,1.448
0.075000,-0.3123,0.5950,1.2921,1.456
0.078000,-0.3106,0.5877,1.3029,1.463
0.080000,-0.3076,0.5831,1.3131,1.469
0.083000,-0.3025,0.5753,1.3234,1.474
0.086000,-0.2989,0.5633,1.3371,1.481
0.087000,-0.2898,0.5538,1.3517,1.489
0.091000,-0.2764,0.5455,1.3651,1.496
0.093000,-0.2539,0.5362,1.3742,1.497
0.095000,-0.2366,0.5259,1.3759,1.492
0.098000,-0.2183,0.5162,1.3732,1.483
0.100000,-0.1992,0.5047,1.3683,1.472
0.103000,-0.1826,0.4961,1.3573,1.457
0.106000,-0.1629,0.4876,1.3483,1.443
0.107000,-0.1465,0.4776,1.3329,1.423
0.110000,-0.1282,0.4708,1.3158,1.403
0.113000,-0.1104,0.4634,1.2946,1.379
0.115000,-0.0918,0.4556,1.2680,1.350
0.117000,-0.0740,0.4515,1.2426,1.324
0.121000,-0.0542,0.4471,1.2152,1.296
0.124000,-0.0388,0.4468,1.1884,1.270
0.126000,-0.0215,0.4451,1.1627,1.245
0.128000,-0.0098,0.4429,1.1373,1.221
0.130000,0.0015,0.4424,1.1090,1.194
0.133000,0.0085,0.4385,1.0834,1.169
0.136000,0.0120,0.4361,1.0570,1.143
0.137000,0.0151,0.4317,1.0340,1.121
0.141000,0.0190,0.4268,1.0077,1.094
0.143000,0.0203,0.4246,0.9837,1.072
0.145000,0.0186,0.4197,0.9642,1.052
0.147000,0.0156,0.4173,0.9449,1.033
0.150000,0.0125,0.4139,0.9300,1.018
0.153000,0.0083,0.4131,0.9151,1.004
0.155000,0.0017,0.4136,0.9029,0.993
0.158000,-0.0049,0.4153,0.8932,0.985
0.160000,-0.0127,0.4175,0.8861,0.980
0.163000,-0.0205,0.4200,0.8819,0.977
0.165000,-0.0295,0.4212,0.8802,0.976
0.167000,-0.0425,0.4246,0.8797,0.978
0.170000,-0.0523,0.4280,0.8834,0.983
0.174000,-0.0623,0.4310,0.8851,0.986
0.177000,-0.0713,0.4319,0.8900,0.992
0.178000,-0.0828,0.4329,0.8968,0.999
0.180000,-0.0899,0.4300,0.9039,1.005
0.183000,-0.0979,0.4302,0.9134,1.014
0.185000,-0.1050,0.4312,0.9237,1.025
0.187000,-0.1109,0.4283,0.9303,1.030
0.191000,-0.1138,0.4283,0.9422,1.041
0.192000,-0.1184,0.4234,0.9520,1.049
0.195000,-0.1231,0.4207,0.9662,1.061
0.197000,-0.1279,0.4165,0.9769,1.070
0.200000,-0.1338,0.4112,0.9884,1.079
0.202000,-0.1387,0.4080,1.0018,1.091
0.205000,-0.1445,0.4036,1.0082,1.096
0.208000,-0.1524,0.4017,1.0189,1.106
0.210000,-0.1590,0.3992,1.0267,1.113
0.213000,-0.1602,0.3977,1.0331,1.119
0.215000,-0.1660,0.3968,1.0379,1.124
0.217000,-0.1707,0.3953,1.0423,1.128
0.220000,-0.1704,0.3973,1.0423,1.128
0.223000,-0.1758,0.3982,1.0406,1.128
0.226000,-0.1748,0.3992,1.0379,1.126
0.227000,-0.1802,0.3997,1.0318,1.121
0.230000,-0.1846,0.4041,1.0255,1.118
0.232000,-0.1873,0.4043,1.0145,1.108
0.236000,-0.1936,0.4068,1.0079,1.104
0.238000,-0.1975,0.4097,0.9991,1.098
0.240000,-0.2041,0.4153,0.9862,1.089
0.243000,-0.2092,0.4205,0.9737,1.081
0.245000,-0.2146,0.4266,0.9615,1.074
0.247000,-0.2200,0.4324,0.9493,1.066
0.250000,-0.2232,0.4368,0.9327,1.054
0.253000,-0.2278,0.4405,0.9156,1.041
0.255000,-0.2329,0.4439,0.9002,1.030
0.258000,-0.2344,0.4436,0.8841,1.017
0.260000,-0.2354,0.4449,0.8683,1.004
0.264000,-0.2378,0.4468,0.8502,0.989
0.265000,-0.2371,0.4476,0.8324,0.974
0.269000,-0.2361,0.4476,0.8150,0.959
0.270000,-0.2339,0.4495,0.8009,0.948
0.273000,-0.2344,0.4502,0.7843,0.934
0.275000,-0.2290,0.4510,0.7694,0.921
0.277000,-0.2273,0.4498,0.7528,0.906
0.280000,-0.2217,0.4502,0.7374,0.892
0.283000,-0.2197,0.4466,0.7242,0.879
0.286000,-0.2154,0.4458,0.7086,0.864
0.287000,-0.2112,0.4449,0.6920,0.849
0.291000,-0.2051,0.4436,0.6780,0.836
0.292000,-0.2002,0.4429,0.6666,0.825
0.295000,-0.1941,0.4407,0.6546,0.813
0.298000,-0.1848,0.4400,0.6456,0.803
0.300000,-0.1775,0.4380,0.6387,0.795
0.303000,-0.1716,0.4373,0.6307,0.786
0.305000,-0.1602,0.4349,0.6246,0.778
0.308000,-0.1541,0.4361,0.6180,0.772
0.310000,-0.1455,0.4329,0.6146,0.766
0.313000,-0.1394,0.4334,0.6097,0.761
0.315000,-0.1326,0.4302,0.6028,0.752
0.317000,-0.1284,0.4278,0.5972,0.746
0.321000,-0.1231,0.4241,0.5904,0.737
0.323000,-0.1182,0.4244,0.5836,0.731
0.325000,-0.1140,0.4224,0.5792,0.726
0.328000,-0.1099,0.4246,0.5770,0.725
0.330000,-0.1091,0.4263,0.5760,0.725
0.333000,-0.1094,0.4302,0.5723,0.724
0.335000,-0.1067,0.4341,0.5701,0.724
0.337000,-0.1077,0.4378,0.5689,0.726
0.340000,-0.1077,0.4417,0.5667,0.727
0.343000,-0.1099,0.4446,0.5655,0.728
0.345000,-0.1077,0.4483,0.5660,0.730
0.348000,-0.1060,0.4524,0.5677,0.734
0.350000,-0.1045,0.4544,0.5691,0.736
0.352000,-0.1038,0.4578,0.5711,0.739
0.355000,-0.1045,0.4622,0.5740,0.744
0.358000,-0.1038,0.4656,0.5770,0.749
0.360000,-0.1047,0.4676,0.5794,0.752
0.362000,-0.1065,0.4717,0.5840,0.758
0.365000,-0.1109,0.4773,0.5919,0.768
0.367000,-0.1165,0.4808,0.5970,0.775
0.370000,-0.1201,0.4854,0.6036,0.784
0.375000,-0.1275,0.4915,0.6094,0.793
0.375000,-0.1345,0.4949,0.6158,0.801
0.378000,-0.1392,0.5003,0.6187,0.808
0.380000,-0.1423,0.5035,0.6219,0.813
0.383000,-0.1441,0.5057,0.6251,0.817
0.385000,-0.1428,0.5081,0.6297,0.822
0.387000,-0.1443,0.5098,0.6326,0.825
0.391000,-0.1431,0.5105,0.6343,0.827
0.392000,-0.1411,0.5152,0.6348,0.830
0.395000,-0.1441,0.5162,0.6373,0.833
0.397000,-0.1455,0.5147,0.6356,0.831
0.399000,-0.1465,0.5162,0.6373,0.833
0.402000,-0.1470,0.5169,0.6380,0.834
0.405000,-0.1482,0.5176,0.6417,0.838
0.408000,-0.1499,0.5167,0.6434,0.839
0.410000,-0.1563,0.5159,0.6470,0.842
0.412000,-0.1602,0.5159,0.6573,0.851
0.415000,-0.1646,0.5164,0.6632,0.856
0.417000,-0.1702,0.5159,0.6763,0.868
0.420000,-0.1741,0.5181,0.6851,0.876
0.423000,-0.1802,0.5164,0.6942,0.884
0.425000,-0.1829,0.5181,0.7032,0.892
0.427000,-0.1861,0.5179,0.7137,0.901
0.430000,-0.1895,0.5167,0.7264,0.911
0.432000,-0.1909,0.5210,0.7332,0.920
0.435000,-0.1939,0.5215,0.7437,0.929
0.437000,-0.1917,0.5257,0.7503,0.936
0.441000,-0.1897,0.5274,0.7598,0.944
0.443000,-0.1868,0.5272,0.7616,0.945
0.445000,-0.1829,0.5306,0.7686,0.952
0.447000,-0.1760,0.5330,0.7735,0.956
0.450000,-0.1746,0.5369,0.7801,0.963
0.452000,-0.1692,0.5381,0.7860,0.967
0.455000,-0.1682,0.5394,0.7909,0.972
0.458000,-0.1648,0.5425,0.7955,0.977
0.460000,-0.1614,0.5455,0.8009,0.982
0.462000,-0.1602,0.5464,0.8028,0.984
0.465000,-0.1572,0.5457,0.8045,0.985
0.467000,-0.1553,0.5491,0.8089,0.990
0.470000,-0.1526,0.5501,0.8075,0.989
0.475000,-0.1511,0.5474,0.8114,0.990
0.475000,-0.1506,0.5479,0.8126,0.992
0.482000,-0.1509,0.5486,0.8136,0.993
0.483000,-0.1521,0.5469,0.8131,0.992
0.487000,-0.1553,0.5464,0.8148,0.993
0.495000,-0.1592,0.5455,0.8177,0.996
0.496000,-0.1638,0.5467,0.8253,1.003
0.497000,-0.1695,0.5477,0.8302,1.009
0.498000,-0.1738,0.5445,0.8353,1.012
0.500000,-0.1778,0.5452,0.8394,1.017
0.503000,-0.1821,0.5438,0.8460,1.022
0.503000,-0.1848,0.5416,0.8495,1.024
0.504000,-0.1902,0.5428,0.8526,1.028
0.506000,-0.1919,0.5420,0.8560,1.031
0.508000,-0.2014,0.5423,0.8592,1.036
0.513000,-0.2068,0.5447,0.8631,1.041
0.513000,-0.2097,0.5450,0.8661,1.045
0.517000,-0.2180,0.5486,0.8680,1.050
0.518000,-0.2285,0.5508,0.8714,1.056
0.521000,-0.2354,0.5540,0.8744,1.062
0.522000,-0.2420,0.5594,0.8761,1.067
0.533000,-0.2520,0.5611,0.8809,1.074
0.533000,-0.2578,0.5630,0.8849,1.080
0.534000,-0.2659,0.5670,0.8902,1.088
0.534000,-0.2688,0.5696,0.8914,1.092
