time,gFx,gFy,gFz,TgF
0.003000,0.3482,0.4969,0.5645,0.829
0.003000,0.3499,0.5018,0.5613,0.830
0.003000,0.3504,0.5052,0.5589,0.831
0.003000,0.3511,0.5108,0.5618,0.837
0.003000,0.3523,0.5169,0.5645,0.843
0.003000,0.3511,0.5208,0.5718,0.849
0.004000,0.3506,0.5259,0.5772,0.856
0.004000,0.3516,0.5281,0.5887,0.865
0.004000,0.3460,0.5298,0.6002,0.872
0.007000,0.3448,0.5330,0.6136,0.883
0.009000,0.3431,0.5355,0.6251,0.892
0.011000,0.3384,0.5359,0.6412,0.902
0.013000,0.3367,0.5367,0.6592,0.914
0.015000,0.3343,0.5394,0.6756,0.927
0.019000,0.3272,0.5386,0.6932,0.937
0.020000,0.3201,0.5374,0.7110,0.947
0.023000,0.3150,0.5308,0.7271,0.954
0.025000,0.3084,0.5230,0.7420,0.959
0.028000,0.2996,0.5108,0.7503,0.956
0.030000,0.2952,0.4991,0.7576,0.954
0.034000,0.2881,0.4881,0.7633,0.951
0.036000,0.2847,0.4751,0.7699,0.948
0.039000,0.2788,0.4632,0.7742,0.944
0.040000,0.2759,0.4537,0.7725,0.937
0.045000,0.2700,0.4463,0.7706,0.931
0.045000,0.2644,0.4410,0.7689,0.925
0.047000,0.2620,0.4378,0.7638,0.918
0.052000,0.2554,0.4353,0.7618,0.914
0.054000,0.2473,0.4373,0.7613,0.912
0.055000,0.2415,0.4402,0.7625,0.913
0.058000,0.2381,0.4463,0.7640,0.916
0.060000,0.2315,0.4566,0.7691,0.924
0.063000,0.2290,0.4659,0.7708,0.929
0.065000,0.2249,0.4737,0.7725,0.934
0.069000,0.2246,0.4759,0.7674,0.931
0.071000,0.2268,0.4539,0.7540,0.909
0.073000,0.2359,0.4390,0.7484,0.899
0.075000,0.2505,0.4270,0.7406,0.891
0.078000,0.2598,0.4197,0.7347,0.885
0.080000,0.2705,0.4270,0.7279,0.886
0.083000,0.2735,0.4417,0.7240,0.891
0.086000,0.2779,0.4629,0.7264,0.905
0.087000,0.2827,0.4922,0.7362,0.930
0.090000,0.2810,0.5149,0.7459,0.949
0.093000,0.2769,0.5320,0.7574,0.966
0.095000,0.2730,0.5438,0.7723,0.983
0.098000,0.2661,0.5513,0.7872,0.997
0.101000,0.2608,0.5523,0.8040,1.010
0.104000,0.2515,0.5489,0.8216,1.020
0.106000,0.2449,0.5440,0.8338,1.025
0.107000,0.2381,0.5379,0.8495,1.033
0.110000,0.2344,0.5247,0.8656,1.039
0.112000,0.2276,0.5208,0.8773,1.045
0.116000,0.2215,0.5147,0.8873,1.049
0.120000,0.2151,0.5086,0.8966,1.053
0.120000,0.2083,0.5079,0.9017,1.056
0.123000,0.2053,0.5037,0.9076,1.058
0.125000,0.1980,0.5027,0.9093,1.058
0.127000,0.1956,0.5008,0.9093,1.056
0.130000,0.1870,0.5008,0.9090,1.055
0.134000,0.1809,0.4986,0.9037,1.048
0.135000,0.1778,0.4957,0.9007,1.043
0.138000,0.1704,0.4930,0.8968,1.037
0.140000,0.1673,0.4937,0.8949,1.036
0.143000,0.1560,0.4910,0.8907,1.029
0.145000,0.1441,0.4861,0.8890,1.023
0.147000,0.1309,0.4822,0.8878,1.019
0.150000,0.1231,0.4778,0.8885,1.016
0.152000,0.1106,0.4712,0.8907,1.014
0.155000,0.1016,0.4683,0.8944,1.015
0.158000,0.0891,0.4637,0.8995,1.016
0.160000,0.0772,0.4590,0.9061,1.019
0.162000,0.0686,0.4549,0.9127,1.022
0.165000,0.0591,0.4527,0.9256,1.032
0.169000,0.0523,0.4490,0.9386,1.042
0.170000,0.0413,0.4476,0.9498,1.051
0.173000,0.0364,0.4439,0.9637,1.062
0.175000,0.0303,0.4417,0.9779,1.073
0.178000,0.0273,0.4383,0.9933,1.086
0.180000,0.0266,0.4356,1.0123,1.102
0.182000,0.0256,0.4322,1.0262,1.114
0.186000,0.0261,0.4292,1.0445,1.130
0.187000,0.0308,0.4297,1.0592,1.143
0.190000,0.0339,0.4280,1.0734,1.156
0.193000,0.0435,0.4292,1.0841,1.167
0.195000,0.0513,0.4317,1.0995,1.182
0.198000,0.0574,0.4334,1.1124,1.195
0.200000,0.0681,0.4397,1.1234,1.208
0.203000,0.0798,0.4412,1.1334,1.219
0.205000,0.0899,0.4446,1.1420,1.229
0.207000,0.1021,0.4458,1.1495,1.237
0.210000,0.1162,0.4495,1.1542,1.244
0.212000,0.1267,0.4502,1.1600,1.251
0.215000,0.1375,0.4510,1.1664,1.258
0.217000,0.1489,0.4512,1.1669,1.260
0.220000,0.1597,0.4488,1.1683,1.262
0.223000,0.1716,0.4444,1.1659,1.259
0.225000,0.1831,0.4410,1.1642,1.258
0.228000,0.1961,0.4353,1.1593,1.254
0.230000,0.2063,0.4295,1.1547,1.249
0.232000,0.2166,0.4212,1.1466,1.241
0.236000,0.2263,0.4170,1.1390,1.234
0.237000,0.2371,0.4073,1.1305,1.225
0.240000,0.2417,0.3977,1.1183,1.211
0.242000,0.2510,0.3894,1.1105,1.203
0.246000,0.2574,0.3826,1.1002,1.193
0.247000,0.2603,0.3721,1.0900,1.181
0.250000,0.2622,0.3655,1.0817,1.171
0.253000,0.2654,0.3570,1.0748,1.163
0.255000,0.2613,0.3518,1.0670,1.153
0.257000,0.2586,0.3467,1.0614,1.146
0.260000,0.2547,0.3426,1.0587,1.142
0.262000,0.2456,0.3382,1.0563,1.136
0.265000,0.2390,0.3338,1.0570,1.134
0.268000,0.2295,0.3326,1.0607,1.135
0.271000,0.2193,0.3323,1.0646,1.137
0.273000,0.2085,0.3338,1.0726,1.143
0.275000,0.2002,0.3333,1.0802,1.148
0.277000,0.1890,0.3377,1.0931,1.160
0.280000,0.1790,0.3416,1.1039,1.169
0.282000,0.1660,0.3450,1.1153,1.179
0.285000,0.1560,0.3528,1.1312,1.195
0.288000,0.1472,0.3562,1.1500,1.213
0.290000,0.1453,0.3611,1.1656,1.229
0.292000,0.1377,0.3641,1.1825,1.245
0.295000,0.1338,0.3670,1.2013,1.263
0.297000,0.1289,0.3704,1.2172,1.279
0.300000,0.1238,0.3706,1.2338,1.294
0.303000,0.1216,0.3724,1.2499,1.310
0.305000,0.1233,0.3684,1.2606,1.319
0.307000,0.1218,0.3611,1.2716,1.328
0.310000,0.1233,0.3567,1.2775,1.332
0.312000,0.1255,0.3479,1.2799,1.332
0.315000,0.1255,0.3372,1.2775,1.327
0.326000,0.1272,0.3260,1.2716,1.319
0.326000,0.1265,0.3130,1.2599,1.304
0.326000,0.1275,0.2996,1.2452,1.287
0.327000,0.1306,0.2874,1.2316,1.271
0.327000,0.1345,0.2744,1.2128,1.251
0.330000,0.1428,0.2630,1.1908,1.228
0.332000,0.1463,0.2498,1.1730,1.208
0.336000,0.1548,0.2368,1.1500,1.184
0.338000,0.1646,0.2278,1.1266,1.161
0.340000,0.1716,0.2200,1.1041,1.139
0.343000,0.1790,0.2127,1.0773,1.113
0.345000,0.1887,0.2058,1.0489,1.085
0.348000,0.1946,0.2036,1.0209,1.059
0.350000,0.2029,0.2036,0.9938,1.034
0.353000,0.2110,0.2034,0.9671,1.011
0.356000,0.2185,0.2036,0.9383,0.985
0.358000,0.2263,0.2097,0.9100,0.961
0.360000,0.2317,0.2134,0.8819,0.936
0.362000,0.2381,0.2202,0.8573,0.917
0.365000,0.2429,0.2283,0.8302,0.895
0.368000,0.2449,0.2364,0.8038,0.873
0.372000,0.2454,0.2459,0.7796,0.854
0.372000,0.2469,0.2588,0.7557,0.836
0.375000,0.2476,0.2674,0.7357,0.821
0.378000,0.2469,0.2766,0.7166,0.807
0.380000,0.2442,0.2908,0.7027,0.799
0.383000,0.2429,0.3001,0.6910,0.792
0.386000,0.2385,0.3120,0.6851,0.790
0.388000,0.2359,0.3247,0.6783,0.788
0.392000,0.2327,0.3350,0.6807,0.794
0.393000,0.2268,0.3465,0.6824,0.798
0.395000,0.2210,0.3557,0.6878,0.805
0.397000,0.2117,0.3638,0.6983,0.815
0.400000,0.2066,0.3716,0.7091,0.827
0.402000,0.1946,0.3755,0.7218,0.837
0.405000,0.1824,0.3782,0.7342,0.846
0.407000,0.1692,0.3782,0.7486,0.856
0.410000,0.1587,0.3770,0.7638,0.866
0.412000,0.1445,0.3753,0.7762,0.874
0.415000,0.1345,0.3709,0.7889,0.882
0.420000,0.1250,0.3684,0.8014,0.891
0.420000,0.1160,0.3645,0.8180,0.903
0.423000,0.1055,0.3616,0.8304,0.912
