time,gFx,gFy,gFz,TgF,is_fall
0.1,-0.115,0.4637,0.8827,1,0
0.2,-0.1409,0.3313,0.9542,1.02,0
0.3,-0.1477,0.4505,0.6444,0.8,0
0.4,-0.136,0.4075,0.9034,1,0
0.5,-0.1216,0.4649,0.6824,0.83,0
0.6,-0.106,0.5154,0.8758,1.02,0
0.7,-0.3496,0.5132,1.139,1.3,0
0.8,-0.2586,0.4143,1.329,1.42,0
0.9,-0.1626,0.5596,0.6243,0.85,0
1,-0.1675,0.4422,0.6881,0.83,0
1.1,-0.0764,0.4402,0.6487,0.79,0
1.2,0.0093,0.5235,0.8927,1.03,0
1.3,0.0256,0.4986,1.2235,1.32,0
1.4,-0.0129,0.4212,1.2242,1.29,0
1.5,0.0684,0.4734,0.7801,0.92,0
1.6,-0.0466,0.5164,0.618,0.81,0
1.7,-0.0339,0.5018,0.7955,0.94,0
1.8,-0.1282,0.6473,0.8748,1.1,0
1.9,-0.4551,0.5877,1.2304,1.44,0
2,-0.2581,0.5445,0.4473,0.75,0
2.1,-0.2066,0.4764,0.5872,0.78,0
2.2,-0.134,0.4656,0.8912,1.01,0
2.3,-0.147,0.4688,1.1796,1.28,0
2.4,-0.0449,0.2163,1.2716,1.29,0
2.5,-0.3391,0.2156,1.16,1.23,0
2.6,-0.4603,0.3462,0.6412,0.86,0
2.7,-0.3304,0.378,0.7222,0.88,0
2.8,-0.4036,0.3616,0.9234,1.07,0
2.9,-0.4795,0.2959,0.9549,1.11,0
3,-0.3269,-0.0901,1.1439,1.19,0
3.1,-0.5801,-0.0303,0.6766,0.89,0
3.2,-0.6173,-0.0237,0.6773,0.92,0
3.3,-0.7699,-0.1404,0.9049,1.2,0
3.4,-0.9049,-0.2964,0.8673,1.29,0
3.5,-0.7459,-0.6414,0.7657,1.25,0
3.6,-0.7928,-0.4974,0.9796,1.35,0
3.7,-0.9281,0.0042,0.377,1,0
3.8,-0.6192,-0.1751,0.4344,0.78,0
3.9,-0.2578,-0.3904,0.3565,0.59,0
4,-0.9813,-0.2783,0.4434,1.11,0
4.1,-0.9984,-0.4415,0.2183,1.11,0
4.2,-0.9918,-0.7772,0.7816,1.48,0
4.3,-0.7413,-0.2952,0.0559,0.8,0
4.4,-1.0751,-0.4256,0.0381,1.16,0
4.5,-1.1547,-0.2176,0.3909,1.24,0
4.6,-0.888,-0.1946,-0.2552,0.94,0
4.7,-1.067,-0.0344,0.0313,1.07,0
