time,x,y,z,TgF
0.007,-0.2967,0.46,0.8101,0.98
0.111,-0.2639,0.4686,0.8473,1
0.21,-0.2915,0.4534,0.8883,1.04
0.311,-0.2886,0.4368,0.8963,1.04
0.412,-0.2867,0.4405,0.8575,1.01
0.519,-0.2388,0.4146,0.9369,1.05
0.62,-0.2041,0.4104,0.941,1.05
0.719,-0.2188,0.4017,0.8932,1
0.819,-0.1453,0.2801,0.9498,1
0.916,-0.188,0.4349,0.8763,1
1.019,-0.1633,0.3833,0.8954,0.99
1.12,-0.1311,0.344,0.8954,0.97
1.221,-0.2134,0.4087,0.932,1.04
1.32,-0.2813,0.4361,0.9068,1.04
1.422,-0.1577,0.2154,1.0365,1.07
1.518,-0.0256,0.291,1.0475,1.09
1.606,0.0122,0.2942,1.1027,1.14
1.708,-0.1477,0.4966,0.7498,0.91
1.807,-0.0784,0.3763,0.9571,1.03
1.908,-0.0432,0.3274,1.0211,1.07
2.008,-0.0571,0.3406,0.9349,1
2.11,-0.0794,0.3533,0.932,1
2.21,-0.0684,0.366,0.9007,0.97
2.312,-0.0889,0.3421,0.94,1
2.412,-0.0278,0.3094,0.9774,1.03
2.525,-0.0816,0.3142,0.9242,0.98
2.63,-0.0315,0.3504,0.9828,1.04
2.734,-0.0127,0.3372,0.9701,1.03
2.826,0.0071,0.346,0.972,1.03
2.944,0.0247,0.3355,0.9356,0.99
3.042,0.0068,0.3274,1.0365,1.09
3.117,0.0352,0.314,0.9593,1.01
3.216,0.0413,0.3135,0.974,1.02
3.317,0.0146,0.3111,0.9303,0.98
3.417,-0.0007,0.3335,0.9693,1.03
3.518,0.0142,0.3457,0.9979,1.06
3.618,-0.0264,0.409,0.8775,0.97
3.717,-0.0029,0.3743,0.9234,1
3.819,0.0044,0.3741,0.9596,1.03
3.919,-0.0159,0.3841,0.9364,1.01
4.02,-0.0298,0.3816,0.9432,1.02
4.12,-0.0046,0.3819,0.9225,1
4.22,-0.0012,0.3775,0.9703,1.04
4.32,0.0571,0.3599,0.994,1.06
4.421,0.0559,0.3641,0.9366,1.01
4.521,-0.021,0.4139,0.91,1
4.621,-0.0181,0.4031,0.9449,1.03
4.722,-0.0085,0.4041,0.9417,1.02
4.822,0.0049,0.3999,0.9227,1.01
4.922,-0.0022,0.3848,0.9403,1.02
5.023,-0.0017,0.376,0.9356,1.01
5.123,0.0085,0.3868,0.9476,1.02
5.223,0.0115,0.3894,0.8866,0.97
5.324,-0.01,0.3743,0.9325,1
5.424,0.0349,0.3955,0.8902,0.97
5.524,0.0293,0.3973,1.0057,1.08
5.624,0.0151,0.4039,0.953,1.04
5.724,-0.0027,0.3948,0.9308,1.01
5.825,-0.0034,0.397,0.9164,1
5.925,0.0012,0.3973,0.9276,1.01
6.029,0.0002,0.3985,0.8824,0.97
6.131,0.0024,0.3897,0.9828,1.06
6.231,0.0171,0.396,0.9217,1
6.332,0.0037,0.3914,0.9234,1
6.433,0.0027,0.3804,0.9347,1.01
6.532,-0.0164,0.386,0.9591,1.03
6.634,0.0112,0.3848,0.9461,1.02
6.733,0.0059,0.3719,0.9671,1.04
6.836,-0.0063,0.3777,0.9293,1
6.936,-0.0032,0.3792,0.921,1
7.037,0.0198,0.3838,0.9312,1.01
7.137,0.0239,0.3868,0.9144,0.99
7.238,0.0142,0.3855,0.9339,1.01
7.338,0.0056,0.3816,0.9581,1.03
7.438,0.0088,0.3816,0.9579,1.03
7.539,0.03,0.3899,0.9107,0.99
7.64,0.0342,0.3877,0.9171,1
