time,x,y,z,TgF
13.0500,0.2547,0.1629,1.0736,1.12
13.1500,0.0371,0.3760,0.9015,0.98
13.2520,0.1797,0.3211,1.1027,1.16
13.3510,0.0181,0.4190,0.8839,0.98
13.4510,0.2798,0.3960,0.9305,1.05
13.5520,0.1204,0.3992,0.9881,1.07
13.6520,0.2915,0.2005,0.7423,0.82
13.7520,-0.0227,0.5748,1.1427,1.28
13.8530,-0.0801,0.5762,1.0245,1.18
13.9530,-0.0374,0.4874,1.0758,1.18
14.0550,-0.1143,0.5154,0.5176,0.74
14.1550,-0.0828,0.4307,0.9493,1.05
14.2550,-0.3194,0.2671,1.0260,1.11
14.3550,-0.0571,0.0623,1.4518,1.45
14.4560,-0.6429,0.2593,0.7828,1.05
14.5560,-0.1929,0.2188,0.8123,0.86
14.6570,0.0894,-0.0942,1.1100,1.12
14.7580,-0.3216,0.1255,1.1080,1.16
14.8580,-0.2442,0.1314,0.9625,1.00
14.9580,-0.3833,0.1214,0.9015,0.99
15.0580,-0.5982,0.1235,0.7647,0.98
15.1600,-0.6414,0.0791,0.8160,1.04
15.2600,-0.7584,0.0586,0.8197,1.12
15.3600,-0.6246,0.0833,0.9078,1.11
15.4600,-0.4918,0.2867,0.6883,0.89
15.5630,-0.1919,0.3191,0.7601,0.85
15.6620,-0.3479,0.3496,0.7547,0.90
15.7630,-0.3150,0.4195,0.7618,0.92
15.8650,-0.4014,0.5906,0.9530,1.19
15.9650,-0.7589,0.2910,1.4413,1.65
16.0650,-0.1148,0.3355,0.9801,1.04
16.1650,-0.6671,0.2730,0.8433,1.11
16.2660,-0.4930,0.3238,0.7347,0.94
16.3670,-0.5152,0.2720,1.0367,1.19
16.4670,-0.3301,0.0950,0.9452,1.01
16.5690,-0.2466,0.0212,1.0563,1.08
16.6700,-0.3641,0.2469,0.6771,0.81
16.7700,-0.2920,0.3423,0.7635,0.89
16.8710,-0.2415,0.3557,0.9063,1.00
16.9720,-0.2163,0.3623,0.8653,0.96
17.0720,-0.3335,0.4290,0.8035,0.97
17.1720,-0.3951,0.2928,1.0226,1.13
