time,x,y,z,TgF
0.0800,-0.2766,0.7559,0.6089,1.01
0.1800,-0.2759,0.7596,0.6246,1.02
0.2800,-0.2849,0.7564,0.6312,1.03
0.3800,-0.3040,0.7874,0.6185,1.05
0.4810,-0.3474,0.7681,0.6407,1.06
0.5820,-0.3218,0.7657,0.6351,1.05
0.6820,-0.2393,0.7125,0.6656,1.00
0.7820,-0.2449,0.7183,0.6890,1.03
0.8820,-0.2715,0.7093,0.6929,1.03
0.9830,-0.2688,0.7244,0.7240,1.06
1.0830,-0.2200,0.7039,0.7928,1.08
1.1830,-0.1294,0.6387,0.7354,0.98
1.2840,-0.1926,0.6878,0.7611,1.04
1.3850,-0.2183,0.6802,0.8678,1.12
1.4850,-0.1878,0.6675,0.8355,1.09
1.5850,-0.1734,0.6361,0.7838,1.02
1.6860,-0.1409,0.6087,0.8228,1.03
1.7860,-0.1729,0.6407,0.8016,1.04
1.8870,-0.2119,0.6961,0.7169,1.02
1.9870,-0.2027,0.7088,0.6558,0.99
2.0870,-0.2381,0.7406,0.7440,1.08
2.1880,-0.0107,0.6378,0.6778,0.93
2.2880,-0.1599,0.7833,0.6702,1.04
2.3890,0.0503,0.6771,0.6141,0.92
2.4900,-0.0359,0.7391,0.5777,0.94
2.5900,-0.0142,0.8394,0.4637,0.96
2.6910,-0.0847,0.7501,0.6556,1.00
2.7910,0.0899,0.7386,0.7095,1.03
2.8910,-0.1060,0.8043,0.8160,1.15
2.9920,-0.2754,0.7459,0.5967,0.99
3.0920,-0.0662,0.8951,0.5264,1.04
3.1920,0.0408,0.8695,0.2940,0.92
3.2930,0.0686,0.8250,0.5342,0.99
3.3930,0.0935,0.8104,0.4905,0.95
3.4940,0.0552,0.8866,0.4236,0.98
3.5950,-0.0322,0.9166,0.4261,1.01
3.6950,0.0759,0.9381,0.4561,1.05
3.7950,0.0967,0.9435,0.2928,0.99
3.8960,0.1665,0.9542,0.2791,1.01
3.9960,0.2029,0.9066,0.2857,0.97
4.0960,0.2481,0.9334,0.2915,1.01
4.1970,0.2061,0.9442,0.3086,1.01
4.2970,0.1660,1.0257,-0.0020,1.04
4.3970,0.1238,0.9886,0.1550,1.01
4.4980,0.0842,1.0040,0.2295,1.03
4.5980,-0.1365,0.9642,0.2993,1.02
4.6990,-0.0403,0.9227,0.0410,0.92
4.7990,-0.0361,0.9818,0.3316,1.04
4.8990,-0.2730,1.1149,0.2696,1.18
5.0000,-0.2910,0.9115,-0.0369,0.96
5.1000,-0.3047,0.9564,0.0737,1.01
5.2010,-0.1499,0.9581,0.1438,0.98
5.3010,-0.2954,0.9217,0.2112,0.99
5.4010,-0.2156,1.0257,0.2510,1.08
5.5040,-0.4358,0.8719,0.0359,0.98
5.6030,-0.4234,0.9229,0.1958,1.03
5.7040,-0.4512,0.9190,0.1636,1.04
5.8040,-0.3284,0.8402,0.1006,0.91
5.9050,-0.5516,0.8243,0.1348,1.00
6.0050,-0.5767,0.8646,0.2493,1.07
6.1060,-0.4573,0.9242,0.3655,1.09
6.2070,-0.4603,0.9422,0.1983,1.07
6.3080,-0.3909,0.8775,0.1218,0.97
6.4090,-0.5245,0.8394,0.1506,1.00
6.5090,-0.5738,0.8372,0.1907,1.03
6.6100,-0.4961,0.6990,0.3089,0.91
6.7100,-0.5919,0.6636,0.5342,1.04
6.8100,-0.4915,0.6741,0.3152,0.89
6.9100,-0.6229,0.6075,0.4598,0.98
7.0110,-0.5919,0.5496,0.7918,1.13
7.1110,-0.6160,0.5284,0.8109,1.15
7.2120,-0.5037,0.6002,0.6568,1.02
7.3110,-0.4598,0.6441,0.6204,1.01
7.4120,-0.5108,0.6353,0.6011,1.01
7.5130,-0.4966,0.6356,0.5965,1.00
7.6130,-0.4771,0.6329,0.5591,0.97
7.7160,-0.5926,0.6209,0.5645,1.03
7.8160,-0.5723,0.6285,0.5980,1.04
7.9440,-0.5677,0.6334,0.6046,1.04
8.0510,-0.5699,0.6426,0.6194,1.06
8.1380,-0.5049,0.6668,0.4776,0.96
8.2380,-0.4986,0.6822,0.4446,0.95
8.3570,-0.5267,0.6441,0.6004,1.03
8.4200,-0.5760,0.6397,0.5711,1.03
8.5220,-0.5626,0.6675,0.5665,1.04
8.6220,-0.5445,0.6795,0.5357,1.02
8.7230,-0.4942,0.6898,0.4876,0.98
8.8230,-0.4793,0.7059,0.4935,0.99
8.9230,-0.5110,0.6976,0.5003,1.00
9.0240,-0.5494,0.7022,0.5230,1.03
9.1240,-0.5543,0.6966,0.5162,1.03
9.2240,-0.5701,0.7034,0.5157,1.04
9.3250,-0.5171,0.7218,0.5318,1.03
9.4250,-0.5767,0.6824,0.5377,1.04
9.5250,-0.5694,0.6790,0.5235,1.03
9.6260,-0.5396,0.6827,0.4119,0.96
9.7270,-0.5435,0.5560,0.1431,0.79
9.8290,0.0789,0.0935,0.0403,0.13
9.9290,-0.0168,-0.0034,0.0271,0.03
10.0290,-0.0173,-0.0063,0.0520,0.06
10.1290,-0.2852,0.5408,0.7428,0.96
10.2290,-0.0532,0.1785,0.1445,0.24
10.3320,-0.3792,0.1841,1.0289,1.11
10.4320,-0.4341,0.1533,0.9647,1.07
10.5320,-0.3819,0.1475,0.9334,1.02
10.6320,-0.3875,0.1450,0.9251,1.01
10.7330,-0.3885,0.1485,0.9242,1.01
10.8330,-0.3914,0.1487,0.9291,1.02
10.9340,-0.3860,0.1467,0.9303,1.02
11.0340,-0.3848,0.1509,0.9312,1.02
11.1350,-0.3938,0.1531,0.9273,1.02
11.2360,-0.3413,0.1719,0.7603,0.85
11.3360,-0.4332,0.1436,0.9298,1.04
11.4360,-0.3982,0.1262,0.8966,0.99
11.5370,-0.3792,0.1814,0.7972,0.90
11.6370,-0.6387,0.1221,0.8856,1.10
11.7380,-0.9549,0.3164,0.8917,1.34
11.8390,0.0781,0.1609,0.9845,1.00
11.9390,0.0151,0.2210,1.0345,1.06
12.0400,0.2918,-0.1326,0.9862,1.04
12.1410,0.2014,0.0513,0.9999,1.02
12.2410,0.1272,0.0901,1.0108,1.02
12.3410,0.1050,0.0908,0.9093,0.92
12.4430,0.2476,0.1499,0.9798,1.02
12.5430,0.0374,-0.1641,1.0367,1.05
12.6430,-0.0007,-0.2849,0.9479,0.99
12.7430,-0.3199,-0.5880,0.9877,1.19
12.8430,-0.3345,-0.5855,0.9281,1.15
12.9450,-0.4944,-0.4979,1.0160,1.23
13.0460,-0.4642,-0.4004,0.7428,0.96
13.1450,-0.6605,-0.2847,0.6851,0.99
13.2470,-0.7784,-0.1885,0.6634,1.04
13.3470,-0.7379,-0.0293,0.4888,0.89
13.4470,-0.7840,0.0986,0.5267,0.95
13.5480,-0.7804,0.1758,0.4305,0.91
13.6480,-0.8407,0.2139,0.4151,0.96
13.7490,-0.8495,0.2783,0.3628,0.96
13.8480,-0.9288,0.3509,0.3255,1.04
13.9490,-0.8595,0.4317,0.3264,1.02
14.0490,-0.8888,0.4849,0.2598,1.05
14.1510,-0.8785,0.4529,0.2559,1.02
14.2510,-0.8709,0.4644,0.2813,1.03
14.3510,-0.8590,0.5115,0.2864,1.04
14.4530,-0.8324,0.5513,0.1799,1.01
14.5520,-0.8260,0.5384,0.1829,1.00
14.6520,-0.8282,0.5435,0.1751,1.01
14.7520,-0.8116,0.5809,0.1675,1.01
14.8530,-0.8143,0.6141,0.1538,1.03
14.9530,-0.8170,0.6236,0.1746,1.04
15.0530,-0.8270,0.6190,0.1685,1.05
15.1540,-0.7816,0.6529,0.1580,1.03
