time,x,y,z,TgF
0.0040,-0.2217,0.7169,0.5860,0.95
0.1050,-0.1304,0.7156,0.5406,0.91
0.2060,-0.4270,0.8958,1.2526,1.60
0.3060,-0.3328,0.6863,1.1146,1.35
0.4060,-0.1592,0.6458,0.5355,0.85
0.5090,-0.2005,0.3443,0.8788,0.96
0.6130,-0.2376,0.5232,0.5696,0.81
0.7090,-0.0498,0.4930,1.1517,1.25
0.8090,-0.1340,0.6693,1.0646,1.26
0.9090,-0.0073,0.6068,0.9427,1.12
1.0070,-0.1123,0.5787,0.9659,1.13
1.1070,0.1797,0.7559,0.6971,1.04
1.2120,-0.0029,0.7806,0.6461,1.01
1.3120,-0.1904,0.9027,1.3021,1.60
1.4070,0.0471,0.8045,0.6019,1.01
1.5080,0.0020,0.6873,0.5372,0.87
1.6100,0.1948,0.6580,0.4759,0.84
1.7080,0.1091,0.6903,0.7386,1.02
1.8080,0.0613,0.7440,0.8687,1.15
1.9110,0.1585,0.6842,0.9806,1.21
2.0100,0.0049,0.6185,0.6326,0.88
2.1100,-0.4229,0.4708,0.5086,0.81
2.1990,-0.2017,0.3472,0.5130,0.65
2.3000,-0.6780,0.3448,0.5352,0.93
2.4000,-0.6851,0.0652,0.6221,0.93
2.5000,-1.0428,0.2810,0.5816,1.23
2.6020,-1.2526,0.2017,1.2474,1.78
2.7020,-0.7791,0.1914,0.5457,0.97
2.8020,-0.3438,0.2461,0.3377,0.54
2.9020,-0.6129,0.2066,0.5960,0.88
3.0030,-0.7493,0.2090,0.7650,1.09
3.1030,-0.7782,-0.0132,0.7049,1.05
3.2040,-0.7699,-0.2334,0.7896,1.13
3.3030,-0.7647,-0.2083,0.5989,0.99
3.4050,-0.8121,-0.3196,0.5450,1.03
3.5060,-0.7418,-0.3113,0.4273,0.91
3.6070,-0.8297,-0.4229,0.5093,1.06
3.7060,-0.9772,-0.5728,0.5999,1.28
3.8060,-1.0436,-0.5853,0.5328,1.31
3.9070,-0.4961,-0.6495,0.1155,0.83
4.0070,-0.8648,-0.4502,0.3160,1.02
4.1080,-1.0213,-0.1077,0.1619,1.04
4.2080,-0.7435,-0.5418,0.1389,0.93
4.3080,-1.0843,-0.1616,-0.0298,1.10
4.4100,-1.2157,-0.3579,0.2219,1.29
4.5090,-0.7774,-0.1025,-0.0623,0.79
4.6100,-0.8438,-0.1695,-0.1848,0.88
4.7100,-0.9442,-0.1485,0.0469,0.96
4.8110,-1.3922,0.0730,-0.1983,1.41
4.9130,-0.7528,-0.1641,0.2962,0.83
5.0130,-1.3847,-0.6011,0.3970,1.56
5.1140,-0.6392,-0.1961,0.0505,0.67
5.2140,-0.7755,0.1111,0.3194,0.85
5.3150,-0.5660,0.1353,0.4314,0.72
5.4150,-0.7247,0.1214,0.1611,0.75
5.5160,-1.4606,0.2439,0.2478,1.50
5.6190,-1.3895,-0.0686,0.1536,1.40
5.7170,-0.8099,-0.3919,0.0071,0.90
5.8170,-0.7967,-0.0686,-0.0588,0.80
5.9190,-0.3426,0.0437,-0.4085,0.53
6.0190,-1.0018,-0.1841,-0.1389,1.03
6.1190,-0.9793,-0.4852,-0.2151,1.11
6.2200,-1.4972,-0.4024,-0.6570,1.68
6.3200,-0.9083,-0.4012,0.1201,1.00
6.4200,-0.4463,-0.3731,-0.4427,0.73
6.5200,-0.8897,-0.2447,-0.2512,0.96
6.6230,-0.7774,-0.2864,-0.4178,0.93
6.7220,-1.1048,-0.5906,-0.7559,1.46
6.8220,-0.7887,-0.6006,-0.9110,1.35
6.9220,-0.7960,-0.5384,-0.1235,0.97
7.0230,-0.6656,-0.3780,-0.3953,0.86
7.1230,-0.5066,-0.1238,-0.4217,0.67
7.2230,-1.0033,-0.5230,-0.6429,1.30
7.3230,-1.0375,-0.3931,-0.6715,1.30
7.4240,-0.9102,-0.3753,-0.3145,1.03
7.5240,-0.9098,-0.4930,-0.1792,1.05
7.6240,-0.6773,-0.3821,0.0564,0.78
7.7240,-0.7286,-0.3401,0.0088,0.80
7.8250,-0.8321,-0.2783,-0.3746,0.95
7.9250,-1.1173,-0.4463,-1.5155,1.94
8.0250,-0.6097,-0.7105,-0.1096,0.94
8.1250,-1.4320,-0.7428,0.1116,1.62
8.2260,-0.9112,-0.1118,-0.0757,0.92
8.3260,-0.8228,-0.2410,-0.1489,0.87
8.4260,-0.9620,-0.3494,-0.3465,1.08
8.5260,-1.1927,0.0630,-0.5076,1.30
8.6260,-0.9950,-0.1611,-0.2190,1.03
8.7270,-0.8914,-0.2378,-0.8016,1.22
8.8270,-0.4136,-0.2967,-0.5232,0.73
8.9270,-0.5118,-0.1897,-0.5672,0.79
9.0280,-0.3138,-0.1968,-0.9586,1.03
9.1290,-0.6910,-0.0352,-1.3031,1.48
9.2290,-1.0255,-0.6954,-0.7105,1.43
9.3290,-0.4021,-0.7027,-0.4693,0.94
9.4290,-0.7547,-0.2068,-0.5643,0.96
9.5290,-0.4393,-0.3973,-0.5274,0.79
9.6290,-0.6622,-0.3609,-0.8578,1.14
9.7300,-0.7877,-0.4192,-0.9139,1.28
9.8300,-0.6292,-0.4710,-0.5687,0.97
9.9300,-0.5040,-0.5872,-0.5738,0.96
10.0300,-0.4883,-0.2420,-0.5250,0.76
10.1310,-0.3406,-0.4786,-0.4388,0.73
10.2310,-0.1990,-0.3760,-1.0401,1.12
10.3310,-0.3987,-0.0879,-1.5143,1.57
10.4310,-0.6241,-0.6558,-0.3977,0.99
10.5320,-0.9435,-0.5699,-0.6114,1.26
10.6320,-0.2666,-0.2610,-0.5706,0.68
10.7320,-0.5313,-0.3142,-0.7098,0.94
10.8330,-0.8731,-0.2913,-0.9295,1.31
10.9330,-0.5828,-0.2700,-1.0482,1.23
11.0330,-0.6519,-0.3267,-0.6517,0.98
11.1330,-0.8912,-0.9657,-0.4878,1.40
11.2330,-0.5198,-0.0737,-0.5591,0.77
11.3330,-0.5171,-0.3501,-0.6177,0.88
11.4340,-0.5582,-0.2283,-0.8736,1.06
11.5340,-0.9100,-0.1719,-0.8878,1.28
11.6340,-0.8526,-0.1655,-0.4161,0.96
11.7350,-1.0553,-0.3794,-0.4927,1.22
11.8350,-0.7232,-0.0024,-0.2762,0.77
11.9350,-0.7857,-0.0930,-0.5601,0.97
12.0350,-1.0099,-0.0083,-0.5687,1.16
12.1360,-1.2858,-0.1016,-0.4832,1.38
12.2360,-1.0914,-0.1995,-0.2720,1.14
12.3360,-1.1012,-0.3084,-0.4510,1.23
12.4370,-0.8197,-0.1311,-0.2901,0.88
12.5360,-0.7818,-0.1541,-0.3872,0.89
12.6370,-1.0135,-0.0940,-0.4141,1.10
12.7370,-1.2802,-0.0557,-0.6094,1.42
12.8370,-0.8805,-0.3045,-0.1353,0.94
12.9380,-1.0355,-0.1643,-0.1929,1.07
13.0380,-0.6368,-0.0198,-0.1423,0.65
13.1390,-0.8612,-0.0002,-0.2859,0.91
13.2390,-1.0802,0.0425,-0.3711,1.14
13.3390,-1.4005,0.0603,-0.3335,1.44
13.4390,-0.7064,-0.2388,0.0813,0.75
13.5390,-0.9952,-0.3472,-0.2884,1.09
13.6390,-0.7520,-0.0889,-0.4471,0.88
13.7390,-0.9046,-0.0549,-0.3216,0.96
13.8400,-1.1908,-0.1243,-0.6158,1.35
13.9400,-1.0274,-0.3523,-0.3767,1.15
14.0400,-1.2618,-0.2950,0.0874,1.30
14.1400,-0.6802,-0.0811,-0.1821,0.71
14.2410,-0.6568,-0.1052,-0.2195,0.70
14.3410,-0.9327,0.0078,-0.4517,1.04
14.4410,-1.1764,-0.0344,-0.3980,1.24
14.5410,-1.2191,-0.1663,-0.2603,1.26
14.6410,-1.1073,-0.3455,-0.2571,1.19
14.7420,-0.7667,-0.1135,-0.3057,0.83
14.8420,-0.6385,-0.0735,-0.3706,0.74
14.9420,-0.8014,-0.0662,-0.4786,0.94
15.0430,-1.1346,0.0874,-0.7918,1.39
15.1430,-0.8941,-0.4090,-0.0762,0.99
15.2430,-1.0509,-0.1736,-0.1807,1.08
15.3430,-0.6934,-0.0071,-0.0881,0.70
15.4430,-0.8912,0.0027,-0.1807,0.91
15.5470,-1.1840,-0.0027,-0.1956,1.20
15.6460,-1.4286,-0.2503,-0.1951,1.46
15.7460,-0.7894,-0.4446,0.2735,0.95
15.8460,-0.8944,-0.0584,0.0862,0.90
15.9460,-0.7318,-0.2542,-0.0464,0.78
16.0470,-0.8670,-0.0938,0.0298,0.87
16.1470,-1.0455,-0.3677,-0.3746,1.17
16.2480,-1.3595,-0.1726,-0.4227,1.43
16.3490,-1.0287,-0.1345,0.6180,1.21
16.4500,-0.9054,-0.1819,-0.0313,0.92
16.5510,-0.7838,-0.0610,0.0921,0.79
16.6530,-0.9513,-0.0237,-0.1482,0.96
16.7530,-1.2406,0.1008,-0.0293,1.25
16.8530,-1.2194,-0.1807,-0.0256,1.23
16.9530,-1.1009,-0.6107,0.1658,1.27
17.0540,-0.8534,-0.1265,-0.1250,0.87
17.1550,-0.8170,-0.1509,-0.0400,0.83
17.2550,-0.9503,-0.1294,-0.1824,0.98
17.3550,-1.1659,-0.2803,-0.2871,1.23
17.4550,-1.0609,-0.3909,0.1492,1.14
17.5550,-1.1317,0.0083,0.1653,1.14
17.6550,-0.7413,-0.0642,0.0408,0.75
17.7550,-0.8829,-0.0222,-0.0461,0.88
17.8560,-1.1046,-0.1333,-0.1177,1.12
17.9590,-1.1949,0.0112,-0.2823,1.23
18.0580,-0.9342,-0.0982,0.2469,0.97
18.1580,-1.1215,-0.4207,0.1011,1.20
18.2580,-0.8546,-0.0842,-0.0540,0.86
18.3580,-0.8299,-0.1795,-0.0388,0.85
18.4590,-1.0162,-0.1458,-0.2381,1.05
18.5600,-1.1910,-0.2356,-0.3763,1.27
18.6600,-0.9115,-0.2298,0.2981,0.99
18.7610,-1.1190,-0.0391,0.2097,1.14
18.8610,-0.7498,0.0271,0.0349,0.75
18.9610,-0.8639,-0.0894,-0.0505,0.87
19.0610,-1.0992,-0.0945,-0.2114,1.12
