time,x,y,z,TgF
12.6060,-0.8856,0.1536,0.0811,0.90
12.7060,-1.0072,0.4185,-0.0022,1.09
12.8060,-1.3080,0.1133,0.2378,1.33
12.9060,-0.6927,0.3365,0.0996,0.78
13.0070,-0.7838,0.1651,0.0779,0.80
13.1070,-0.8775,0.2874,0.1314,0.93
13.2080,-1.0765,0.2830,0.1926,1.13
13.3080,-1.6720,0.0989,0.2339,1.69
13.4080,-0.7840,0.1756,-0.0315,0.80
13.5090,-0.7623,0.0740,-0.0398,0.77
13.6100,-0.8670,0.0911,0.0689,0.87
13.7110,-0.7323,0.3684,-0.1936,0.84
13.8110,-1.1456,0.3597,0.3758,1.26
13.9120,-1.2040,0.3308,-0.0940,1.25
14.0120,-0.6116,0.2681,0.1814,0.69
14.1120,-0.6458,0.1492,-0.1502,0.68
14.2130,-0.8416,0.1475,-0.0498,0.86
14.3140,-1.2389,0.1214,0.1463,1.25
14.4140,-1.5658,0.2400,-0.4202,1.64
14.5140,-0.7804,0.0610,-0.0977,0.79
14.6140,-0.6173,0.0137,-0.1177,0.63
14.7150,-0.6903,0.1807,-0.1758,0.73
14.8150,-1.6752,0.3733,-0.0107,1.72
14.9160,-0.9366,0.2295,-0.2354,0.99
15.0160,-0.6165,0.3562,-0.2407,0.75
15.1160,-0.7974,0.2613,-0.2591,0.88
15.2160,-1.7858,-0.0584,0.0518,1.79
15.3170,-1.2785,0.4024,-0.1885,1.35
15.4170,-0.6111,0.0261,-0.0261,0.61
15.5170,-0.6661,0.3150,-0.3064,0.80
15.6180,-1.2308,0.3338,-0.6842,1.45
15.7180,-0.7547,0.2571,0.2500,0.84
15.8190,-1.1410,0.1231,0.0151,1.15
15.9180,-0.6043,0.2708,-0.2342,0.70
16.0190,-0.8245,0.1746,0.1228,0.85
16.1190,-1.0580,0.2718,-0.3391,1.14
16.2190,-1.2455,0.3924,-0.2124,1.32
16.3190,-1.0839,-0.0928,0.0144,1.09
16.4200,-1.0524,0.2757,-0.1043,1.09
16.5200,-0.7755,0.0432,-0.0984,0.78
16.6200,-0.8397,0.1917,-0.0889,0.87
16.7200,-1.1090,0.1033,-0.2241,1.14
16.8200,-1.2365,0.0562,0.1704,1.25
16.9210,-1.2284,-0.1568,0.3601,1.29
17.0210,-0.7449,0.2088,-0.0317,0.77
17.1210,-0.7786,0.1526,0.0549,0.80
17.2210,-0.8292,0.2224,-0.0540,0.86
17.3220,-0.9784,0.1775,-0.1397,1.00
17.4220,-1.2755,0.1140,0.2554,1.31
17.5220,-1.6352,0.0715,-0.2144,1.65
17.6220,-0.7366,0.0649,-0.0286,0.74
17.7230,-0.6712,0.1028,-0.2464,0.72
17.8230,-0.8734,0.0391,-0.0952,0.88
17.9230,-1.2472,0.1592,0.1506,1.27
18.0240,-1.4687,0.3135,-0.1936,1.51
18.1250,-0.7459,0.1712,0.1712,0.78
18.2250,-0.6573,0.3101,-0.3086,0.79
18.3250,-0.9305,0.3858,-0.2124,1.03
18.4250,-1.2980,0.1006,0.2425,1.32
18.5250,-1.3710,0.4600,-0.0796,1.45
18.6250,-0.7313,-0.0855,-0.0071,0.74
18.7260,-0.4971,0.1167,-0.3938,0.64
18.8260,-1.4552,0.2100,-0.6285,1.60
18.9260,-1.2760,0.0212,0.0542,1.28
19.0260,-1.2694,-0.1502,0.0388,1.28
19.1260,-0.6253,0.2339,-0.1673,0.69
19.2270,-0.7025,0.1348,0.0230,0.72
19.3290,-1.0934,0.3113,-0.2722,1.17
19.4290,-1.3588,0.3211,-0.3391,1.44
19.5290,-0.8463,-0.1177,0.2136,0.88
19.6290,-1.2369,0.3269,-0.1724,1.29
19.7290,-0.7208,0.1004,-0.2000,0.75
19.8300,-0.6964,-0.0237,-0.1257,0.71
19.9300,-1.1451,0.1819,-0.4395,1.24
20.0300,-1.2997,0.0415,-0.2840,1.33
20.1300,-1.1461,0.0144,0.2427,1.17
20.2300,-0.7254,0.2908,-0.0867,0.79
20.3310,-0.6627,0.1204,0.0322,0.67
20.4310,-1.0558,0.3047,-0.2818,1.13
20.5310,-1.1854,0.4268,-0.3533,1.31
20.6310,-0.9266,0.0122,-0.0337,0.93
20.7310,-1.3261,0.4524,-0.0745,1.40
20.8320,-0.7540,0.0706,-0.2483,0.80
20.9320,-0.5875,-0.0325,-0.1502,0.61
21.0320,-1.0653,0.1839,-0.4961,1.19
21.1320,-1.2907,0.0630,-0.2737,1.32
21.2320,-1.0311,0.0134,0.0720,1.03
21.3320,-0.7513,0.2901,-0.2376,0.84
21.4330,-0.6759,0.0938,-0.0837,0.69
21.5330,-1.0526,0.2959,-0.3394,1.14
21.6330,-1.3556,0.2971,-0.2439,1.41
21.7340,-0.9752,-0.3902,0.0999,1.06
21.8340,-1.0118,0.5765,-0.3489,1.22
21.9340,-0.5543,-0.1043,-0.1211,0.58
22.0340,-0.7589,0.1087,-0.2439,0.80
22.1340,-1.1969,-0.0225,-0.2571,1.22
22.2350,-1.3129,-0.1267,-0.0869,1.32
22.3360,-1.1522,0.0693,-0.0811,1.16
22.4360,-0.6275,0.1265,-0.1116,0.65
22.5360,-0.6238,-0.0266,0.0376,0.63
22.6360,-0.9596,0.1568,-0.1716,0.99
22.7370,-1.1117,0.2378,0.0759,1.14
22.8370,-1.1451,0.1975,0.2322,1.19
22.9370,-0.9723,0.0315,0.7073,1.20
23.0370,-0.8531,-0.1616,0.4524,0.98
23.1390,-1.0611,-0.0015,0.3997,1.13
23.2400,-1.0257,0.0239,-0.1118,1.03
23.3390,-1.3016,-0.0645,0.2451,1.33
23.4390,-0.7779,-0.5784,0.5105,1.10
23.5400,-1.0807,-0.3802,0.0352,1.15
23.6400,-0.7469,-0.2544,-0.3374,0.86
23.7410,-1.0609,-0.1502,0.1829,1.09
23.8440,-0.7645,-0.2190,0.0999,0.80
23.9460,-0.9908,-0.1621,0.2759,1.04
24.0460,-0.9701,-0.5919,0.6002,1.29
24.1460,-0.7894,-0.4566,0.5972,1.09
24.2460,-1.4091,0.3289,0.3750,1.49
24.3460,-0.7098,0.0925,0.7569,1.04
24.4480,-0.7276,-0.1001,1.0033,1.24
24.5490,-0.5906,0.0325,1.0157,1.18
24.6500,-0.3374,0.0684,1.0399,1.10
24.7510,-0.4832,0.3250,0.7052,0.91
24.8510,-0.1113,0.3230,0.4937,0.60
24.9520,-0.2288,0.5965,0.6737,0.93
25.0530,-0.1521,0.7108,0.9066,1.16
25.1530,-0.2346,0.9271,0.5022,1.08
25.2540,-0.2266,0.5716,0.7222,0.95
25.3540,-0.5228,0.7178,0.5450,1.04
25.4540,-0.1414,0.7061,0.5367,0.90
25.5550,-0.2256,0.7918,0.5582,0.99
25.6550,-0.0305,0.8341,0.5970,1.03
25.7550,0.1655,0.7503,0.7156,1.05
25.8560,0.3438,0.5955,0.7222,1.00
25.9560,-0.1189,0.4908,0.9779,1.10
26.0560,-0.0972,0.5757,0.6234,0.85
26.1570,-0.1311,0.6551,0.7884,1.03
26.2570,-0.1807,0.6487,0.9078,1.13
26.3580,-0.3516,0.6568,0.9640,1.22
26.4580,-0.2588,0.5596,0.7498,0.97
26.5580,-0.1785,0.5550,0.6695,0.89
26.6590,-0.1184,0.6121,0.5355,0.82
26.7600,-0.1047,0.6597,0.7515,1.01
26.8600,-0.1157,0.7821,0.8175,1.14
26.9610,-0.0364,0.5001,1.2377,1.34
27.0610,-0.2053,0.5582,0.9530,1.12
27.1620,-0.1372,0.4629,0.7618,0.90
27.2620,-0.1177,0.5828,0.6265,0.86
27.3620,-0.0452,0.6793,0.8751,1.11
27.4620,-0.1372,0.6236,0.8441,1.06
27.5630,-0.4222,0.5440,1.1166,1.31
27.6630,-0.2324,0.4556,1.0802,1.20
27.7630,-0.0979,0.5579,0.6219,0.84
27.8630,-0.1648,0.5884,0.7813,0.99
27.9640,-0.1067,0.6951,0.7826,1.05
28.0640,-0.1482,0.7379,0.9439,1.21
28.1640,-0.0720,0.6690,0.6866,0.96
28.2640,-0.0889,0.5113,0.6956,0.87
28.3640,-0.0830,0.5792,0.5325,0.79
28.4640,-0.0796,0.6829,0.7039,0.98
28.5650,-0.1900,0.6678,0.9564,1.18
28.6650,-0.4043,0.6929,1.0067,1.29
28.7650,-0.2725,0.5606,0.7086,0.94
28.8650,-0.0725,0.4800,0.6729,0.83
28.9650,-0.0798,0.5569,0.5645,0.80
29.0660,-0.0713,0.6165,0.7738,0.99
29.1660,-0.1194,0.7318,0.9049,1.17
29.2660,-0.0005,0.5113,1.3165,1.41
29.3660,-0.0823,0.5220,0.8355,0.99
29.4670,-0.1550,0.4910,0.7681,0.92
29.5670,-0.0986,0.5665,0.5372,0.79
29.6670,-0.0701,0.6253,0.8145,1.03
29.7680,-0.1983,0.6180,0.9527,1.15
29.8680,-0.3767,0.4673,1.1930,1.34
29.9680,-0.4495,0.5279,0.8631,1.11
30.0680,-0.1111,0.4490,0.5889,0.75
30.1680,-0.1560,0.4961,0.7672,0.93
30.2690,-0.0786,0.5499,0.8814,1.04
30.3690,-0.0652,0.5823,1.0133,1.17
30.4690,0.0161,0.3843,1.0360,1.11
30.5690,-0.3052,0.3697,1.0563,1.16
30.6690,-0.1939,0.4090,0.6583,0.80
30.7710,-0.1917,0.4454,0.7735,0.91
30.8710,-0.2705,0.5203,0.9212,1.09
30.9710,-0.2383,0.5245,0.8836,1.05
31.0710,-0.3089,0.4642,0.8123,0.99
31.1720,-0.3289,0.4476,0.9530,1.10
31.2720,-0.1546,0.4952,0.5713,0.77
31.3720,-0.2080,0.5543,0.7156,0.93
31.4720,-0.1497,0.6094,0.8614,1.07
31.5720,-0.1001,0.5350,1.1464,1.27
31.6730,-0.0728,0.4285,0.8341,0.94
31.7730,-0.2097,0.3536,0.8485,0.94
31.8730,-0.1333,0.4092,0.7152,0.83
31.9730,-0.1087,0.4544,0.8529,0.97
32.0740,-0.1861,0.4690,1.0448,1.16
32.1740,-0.2881,0.5518,0.9178,1.11
32.2740,-0.1404,0.4034,0.7410,0.86
32.3750,-0.1145,0.3672,0.9298,1.01
32.4750,-0.0134,0.4300,0.7100,0.83
32.5760,-0.1294,0.4954,0.8526,0.99
32.6770,-0.1123,0.5506,0.8849,1.05
32.7760,-0.0159,0.4563,1.1112,1.20
32.8770,-0.1868,0.4773,0.8907,1.03
32.9770,-0.1961,0.3396,0.7125,0.81
33.0770,-0.1829,0.4417,0.6761,0.83
33.1780,-0.1318,0.4854,0.7369,0.89
33.2790,-0.2171,0.5914,0.8954,1.09
33.3800,-0.1553,0.3785,1.1669,1.24
33.4800,-0.4375,0.4778,0.9024,1.11
33.5800,-0.2649,0.4009,0.5770,0.75
33.6810,-0.1316,0.6331,0.6085,0.89
33.7820,-0.1704,0.5298,0.7901,0.97
33.8830,-0.3013,0.5345,0.8788,1.07
33.9820,-0.3721,0.2388,0.7752,0.89
34.0820,-0.5084,-0.1309,0.5584,0.77
34.1830,-0.9496,-0.1538,0.6802,1.18
34.2840,-0.9605,-0.1570,0.5208,1.10
34.3830,-1.3395,-0.0923,0.5274,1.44
34.4840,-1.3510,-0.0542,0.4417,1.42
34.5850,-0.7237,-0.4043,-0.1311,0.84
34.6860,-0.8433,-0.2559,-0.0439,0.88
34.7860,-1.0272,-0.3330,0.6212,1.25
34.8870,-0.3958,-0.4119,0.1641,0.59
34.9870,-1.8974,-0.0125,0.0039,1.90
35.0870,-0.7489,-0.2290,0.8177,1.13
35.1870,-1.0272,-0.1524,0.2598,1.07
35.2870,-0.1524,-0.0979,0.2840,0.34
35.3880,-1.5031,0.3650,-0.1233,1.55
35.4880,-1.6979,-0.0259,0.0857,1.70
35.5890,-1.3585,-0.1326,0.2083,1.38
35.6910,-0.4861,-0.6050,-0.3203,0.84
35.7920,-0.5088,0.1111,0.1792,0.55
35.8920,-0.9647,-0.2285,0.0823,0.99
35.9920,-0.7391,-0.3767,-0.1687,0.85
36.0930,-1.1105,-0.3960,-0.1699,1.19
36.1920,-1.5050,-0.1196,0.2925,1.54
36.2930,-1.2926,0.0747,0.1548,1.30
36.3930,-0.2337,-0.6675,0.7264,1.01
36.4940,-1.1141,-0.2654,0.1069,1.15
36.5940,-1.0499,-0.2559,0.1651,1.09
36.6960,-1.0358,-0.1731,-0.0242,1.05
36.7950,-1.3671,0.2117,0.2749,1.41
36.8960,-0.9762,-0.0322,-0.0066,0.98
36.9960,-1.1251,-0.0857,0.0518,1.13
37.0960,-0.8490,0.2312,-0.0171,0.88
37.1960,-1.2238,-0.2288,0.2239,1.26
37.2980,-1.0680,-0.0823,0.5814,1.22
37.3980,-1.2118,0.0847,0.5164,1.32
37.4990,-0.9417,0.0335,0.3374,1.00
37.6000,-0.9200,-0.0371,0.1480,0.93
37.7000,-1.1822,0.0847,0.0969,1.19
37.8000,-1.4169,0.0518,0.2488,1.44
37.9010,-0.5396,-0.1416,0.3775,0.67
38.0020,-1.0074,0.1716,0.1641,1.04
38.1020,-0.6182,0.0681,-0.2434,0.67
38.2030,-0.7371,-0.0869,-0.0640,0.74
38.3030,-1.1005,-0.1008,0.0247,1.11
38.4030,-1.1561,-0.0486,0.0332,1.16
38.5060,-0.9349,0.1091,0.5716,1.10
38.6030,-0.9088,0.1079,0.1035,0.92
38.7040,-0.7445,0.0378,0.2083,0.77
38.8050,-0.8680,0.1072,0.1345,0.88
38.9050,-1.0145,0.2906,0.1143,1.06
39.0050,-1.0734,0.1655,0.3199,1.13
39.1050,-1.2755,0.0337,0.0798,1.28
39.2060,-1.0531,-0.0598,-0.0562,1.06
39.3060,-0.8177,0.1023,-0.0249,0.82
39.4060,-0.9867,-0.0515,-0.0781,0.99
39.5060,-1.1503,-0.1084,0.2908,1.19
39.6070,-1.2675,0.1836,0.1958,1.30
39.7090,-0.9605,0.0483,0.2637,1.00
39.8090,-0.9244,-0.0105,0.0330,0.93
39.9090,-1.0011,0.3318,0.1770,1.07
40.0090,-0.8541,-0.1736,0.2254,0.90
40.1100,-1.1840,-0.2888,0.2742,1.25
40.2100,-0.9090,0.1152,-0.0234,0.92
40.3110,-0.9969,-0.0112,-0.0740,1.00
40.4120,-0.7567,-0.0742,0.3142,0.82
40.5130,-1.3009,-0.1814,0.3338,1.36
40.6130,-1.0592,0.0786,0.2898,1.10
40.7130,-1.0267,0.1477,0.0608,1.04
40.8130,-0.9864,-0.0293,0.4441,1.08
40.9140,-1.0008,-0.0212,0.1445,1.01
41.0140,-1.0155,-0.0061,-0.0337,1.02
41.1140,-0.9952,0.1870,-0.0466,1.01
41.2150,-0.7025,0.0093,0.1502,0.72
41.3150,-1.1149,-0.0093,0.4478,1.20
41.4150,-1.1442,0.2830,0.3091,1.22
41.5180,-0.9547,0.1338,0.0542,0.97
41.6180,-0.8436,0.2234,0.2166,0.90
41.7180,-1.0216,-0.0635,0.1504,1.03
41.8180,-1.3041,-0.2845,0.1228,1.34
41.9180,-0.8089,0.0366,0.0855,0.81
42.0180,-0.8971,0.0864,-0.1184,0.91
42.1190,-1.1356,0.2263,-0.0769,1.16
42.2190,-0.9620,0.1797,0.4402,1.07
42.3190,-1.4069,0.1734,0.2266,1.44
42.4200,-0.7684,-0.0127,0.1883,0.79
42.5200,-0.8683,0.1760,0.0984,0.89
42.6200,-1.1359,0.0967,0.1250,1.15
42.7200,-1.1354,-0.0256,0.3704,1.19
42.8210,-1.1390,-0.0918,0.3453,1.19
42.9210,-0.8575,-0.0735,0.0535,0.86
43.0210,-0.7948,-0.0371,0.0764,0.80
43.1210,-0.9791,0.0391,0.0322,0.98
43.2220,-1.3688,0.2368,-0.0996,1.39
43.3220,-1.0172,0.1079,0.4646,1.12
43.4220,-1.1376,0.1577,0.0928,1.15
43.5220,-0.7618,0.0046,0.2178,0.79
43.6230,-0.8514,0.0881,0.1377,0.87
43.7250,-0.9623,0.1524,0.2644,1.01
43.8270,-0.9173,0.0669,0.0938,0.92
43.9250,-1.0008,-0.1480,0.2910,1.05
44.0250,-1.1488,-0.1594,0.0872,1.16
44.1250,-1.0663,-0.0215,-0.0237,1.07
44.2250,-0.8770,-0.0037,-0.0286,0.88
44.3290,-0.9015,0.0852,-0.0410,0.91
44.4270,-0.8387,0.1856,0.3592,0.93
44.5270,-1.4814,0.3201,0.3631,1.56
44.6270,-0.8709,0.0569,0.2107,0.90
44.7270,-0.9249,0.1218,0.0154,0.93
44.8280,-0.8316,0.1922,0.1599,0.87
44.9290,-1.0885,0.0281,0.2329,1.11
45.0290,-1.2548,-0.2771,0.0767,1.29
45.1290,-0.7232,0.0999,0.0540,0.73
