time,x,y,z,TgF
0.0100,-0.1614,0.3423,0.6890,0.79
0.1070,-0.3789,0.3938,0.9371,1.08
0.2210,-0.1189,0.4175,0.7601,0.88
0.3210,-0.1289,0.4446,0.8114,0.93
0.4080,-0.0554,0.5198,0.8653,1.01
0.5090,-0.0774,0.4751,1.1031,1.20
0.6090,0.0076,0.2517,1.2758,1.30
0.7090,0.0127,0.3037,0.7152,0.78
0.8090,-0.1235,0.2552,1.0140,1.05
0.9100,-0.0466,0.2937,0.8958,0.94
1.0110,0.1423,0.3128,0.9034,0.97
1.1120,-0.2393,0.7078,0.3514,0.83
1.2120,-0.2317,0.5118,1.3888,1.50
1.3130,-0.5398,0.5858,0.7706,1.11
1.4130,-0.2127,0.4458,0.6685,0.83
1.5130,-0.3177,0.2058,0.6807,0.78
1.6130,0.0024,0.6485,0.7542,0.99
1.7140,-0.5616,0.6556,0.9610,1.29
1.8150,-0.3006,0.4918,1.0196,1.17
1.9160,-0.0493,0.4405,0.7345,0.86
2.0170,-0.2212,0.4871,0.8634,1.02
2.1190,-0.1419,0.5462,0.5840,0.81
2.2190,-0.1257,0.5447,0.7889,0.97
2.3190,-0.1685,0.5677,0.9562,1.12
2.4190,-0.3748,0.5044,1.3732,1.51
2.5200,-0.3848,0.4595,0.7913,0.99
2.6210,-0.0986,0.4273,0.6168,0.76
2.7220,-0.0254,0.4727,0.8167,0.94
2.8220,-0.0259,0.5523,0.8619,1.02
2.9220,-0.0647,0.5972,0.8612,1.05
3.0220,-0.0913,0.3619,1.5885,1.63
3.1240,0.0073,0.4417,0.8004,0.91
3.2420,-0.3247,0.5093,0.7628,0.97
3.3260,-0.1912,0.4070,0.5442,0.71
3.4280,-0.4634,0.3680,0.6558,0.88
3.5280,-0.5682,0.3223,0.5228,0.84
3.6300,-0.8853,0.0269,0.5911,1.06
3.7300,-0.7518,-0.4632,0.3413,0.95
3.8300,-0.7489,-0.6153,0.3816,1.04
3.9300,-1.0201,-0.8250,0.2403,1.33
4.0450,-1.5150,-0.6429,0.2696,1.67
4.1320,-1.4872,-0.4524,-0.0896,1.56
4.2320,-1.0421,-0.6141,0.2893,1.24
4.3320,-0.3365,-0.2061,-0.1314,0.42
4.4320,-1.1544,-0.2683,0.5643,1.31
4.5490,-0.7777,-0.1414,0.0239,0.79
4.6340,-0.7703,-0.0654,-0.0530,0.77
4.7340,-1.2711,-0.0430,0.4996,1.37
4.8340,-1.4223,0.0486,0.1519,1.43
4.9350,-0.5872,-0.6033,0.2305,0.87
5.0350,-0.9891,-0.0996,0.4476,1.09
5.1350,-0.5770,-0.0418,0.2910,0.65
5.2360,-0.9349,-0.0078,0.2678,0.97
5.3360,-1.0970,-0.1069,0.1441,1.11
5.4380,-1.5505,-0.2986,0.0842,1.58
5.5360,-0.8390,-0.2190,0.2818,0.91
5.6370,-1.0260,-0.2141,0.0396,1.05
5.7370,-0.7208,0.0982,-0.1748,0.75
5.8380,-0.8790,0.3189,-0.1531,0.95
5.9400,-0.8231,-0.0483,-0.1514,0.84
6.0400,-0.8175,0.2661,0.2310,0.89
6.1410,-0.7501,-0.2964,0.1714,0.82
6.2490,-0.9657,-0.3538,0.2354,1.06
6.3420,-0.8026,-0.1231,0.1934,0.83
6.4420,-0.7791,-0.0759,0.0635,0.79
6.5420,-1.2316,0.0877,0.1592,1.24
6.6430,-1.4215,-0.2207,0.1233,1.44
6.7470,-1.0301,-0.0960,0.6915,1.24
6.8440,-0.8114,0.0691,0.6453,1.04
6.9470,-0.5887,-0.2898,0.3555,0.75
7.0470,-0.9083,-0.0435,0.4439,1.01
7.1470,-1.0419,-0.0957,0.3553,1.10
7.2540,-1.3239,0.0686,0.4620,1.40
7.3450,-0.9596,-0.2364,0.3081,1.04
7.4450,-0.8353,-0.1675,0.4612,0.97
7.5670,-0.7540,-0.0095,0.2149,0.78
7.6470,-0.7364,-0.1206,0.3782,0.84
